"","desakelurahan","epidemic.wave","week.of.cases","sum.of.cases","pop","frequency.index","duration.index","intensity.index"
"1","Wonokerto",0,0,0,9231,0,NA,NA
"2","Girikerto",0,0,0,7430,0,NA,NA
"3","Donokerto",1,1,1,8410,0.0116279069767442,1,0.000118906064209275
"4","Bangunkerto",1,1,1,8345,0.0116279069767442,1,0.00011983223487118
"5","Sumbersari",3,4,7,7618,0.0465116279069767,1.33333333333333,0.000306292115165835
"6","Sumberrahayu",0,0,0,6097,0,NA,NA
"7","Sumberarum",0,0,0,6635,0,NA,NA
"8","Sumberagung",0,0,0,10826,0,NA,NA
"9","Margomulyo",2,2,2,11462,0.0232558139534884,1,8.72448089338684e-05
"10","Margoluwih",7,8,8,9398,0.0930232558139535,1.14285714285714,0.000121606420819019
"11","Margokaton",3,3,3,7020,0.0348837209302326,1,0.000142450142450142
"12","Margodadi",1,2,3,8207,0.0232558139534884,2,0.000365541610820032
"13","Margoagung",1,1,5,9391,0.0116279069767442,1,0.00053242466191034
"14","Triharjo",8,8,8,16324,0.0930232558139535,1,6.12594952217594e-05
"15","Tridadi",8,14,15,14058,0.162790697674419,1.75,0.000133376013657704
"16","Trimulyo",2,2,3,8635,0.0232558139534884,1,0.000173711638679792
"17","Pandowoharjo",4,4,5,10867,0.0465116279069767,1,0.000115027146406552
"18","Caturharjo",2,2,3,13471,0.0232558139534884,1,0.000111350308069186
"19","Widodomartani",1,1,1,7233,0.0116279069767442,1,0.000138255219134522
"20","Wedomartani",9,14,21,27135,0.162790697674419,1.55555555555556,8.59898040660893e-05
"21","Umbulmartani",2,2,3,11306,0.0232558139534884,1,0.000132672917035203
"22","Sindumartani",0,0,0,7090,0,NA,NA
"23","Bimomartani",0,0,0,6746,0,NA,NA
"24","Sukoharjo",4,5,6,15139,0.0581395348837209,1.25,9.90818416011626e-05
"25","Sinduharjo",4,6,8,19352,0.0697674418604651,1.5,0.00010334849111203
"26","Sariharjo",9,10,11,24131,0.116279069767442,1.11111111111111,5.0649464266803e-05
"27","Sardonoharjo",3,4,5,21713,0.0465116279069767,1.33333333333333,7.67589309016104e-05
"28","Minomartani",2,3,7,13095,0.0348837209302326,1.5,0.000267277586865216
"29","Donoharjo",2,2,2,9429,0.0232558139534884,1,0.00010605578534309
"30","Sidorejo",1,1,1,6401,0.0116279069767442,1,0.000156225589751601
"31","Sidomulyo",5,7,11,5935,0.0813953488372093,1.4,0.000370682392586352
"32","Sidomoyo",8,13,18,7653,0.151162790697674,1.625,0.000294002352018816
"33","Sidoluhur",6,8,8,9556,0.0930232558139535,1.33333333333333,0.000139528394028185
"34","Sidokarto",5,5,5,11254,0.0581395348837209,1,8.88572951839346e-05
"35","Sidoarum",4,9,11,17129,0.104651162790698,2.25,0.000160546441707047
"36","Sidoagung",5,7,10,8588,0.0813953488372093,1.4,0.000232883092687471
"37","Tambakrejo",0,0,0,4565,0,NA,NA
"38","Sumberrejo",0,0,0,4529,0,NA,NA
"39","Pondokrejo",0,0,0,5582,0,NA,NA
"40","Mororejo",0,0,0,4730,0,NA,NA
"41","Merdikorejo",1,1,1,6071,0.0116279069767442,1,0.000164717509471257
"42","Margorejo",1,1,1,10169,0.0116279069767442,1,9.83380863408398e-05
"43","Lumbungrejo",1,1,1,7312,0.0116279069767442,1,0.000136761487964989
"44","Banyurejo",0,0,0,7093,0,NA,NA
"45","Tirtomartani",7,17,34,15882,0.197674418604651,2.42857142857143,0.000305826901973483
"46","Tamanmartani",7,16,24,14750,0.186046511627907,2.28571428571429,0.000232445520581114
"47","Selomartani",6,8,13,11581,0.0930232558139535,1.33333333333333,0.000187088046512967
"48","Purwomartani",11,24,67,34669,0.27906976744186,2.18181818181818,0.000175687475580752
"49","Tegaltirto",2,5,6,11499,0.0581395348837209,2.5,0.00026089225150013
"50","Sendangtirto",5,7,7,17367,0.0813953488372093,1.4,8.06126561870214e-05
"51","Kalitirto",4,6,9,12521,0.0697674418604651,1.5,0.000179698107179938
"52","Jogotirto",2,5,9,9883,0.0581395348837209,2.5,0.000455327329758171
"53","Tlogoadi",4,5,6,11996,0.0581395348837209,1.25,0.000125041680560187
"54","Tirtoadi",0,0,0,9416,0,NA,NA
"55","Sumberadi",1,1,1,14549,0.0116279069767442,1,6.87332462712214e-05
"56","Sinduadi",16,24,36,48339,0.27906976744186,1.5,4.65462669893875e-05
"57","Sendangadi",8,8,8,17701,0.0930232558139535,1,5.64939833907689e-05
"58","Wukirsari",1,1,1,9873,0.0116279069767442,1,0.00010128633647321
"59","Umbulharjo",0,0,0,4766,0,NA,NA
"60","Kepuhharjo",0,0,0,3116,0,NA,NA
"61","Glagahharjo",1,1,1,3670,0.0116279069767442,1,0.000272479564032698
"62","Argomulyo",2,2,2,7043,0.0232558139534884,1,0.000141984949595343
"63","Sendangsari",0,0,0,4577,0,NA,NA
"64","Sendangagung",1,1,1,7375,0.0116279069767442,1,0.000135593220338983
"65","Sendangrejo",2,2,2,7941,0.0232558139534884,1,0.000125928724342022
"66","Sendangmulyo",0,0,0,6254,0,NA,NA
"67","Sendangarum",2,2,2,3394,0.0232558139534884,1,0.000294637595757219
"68","Wukirharjo",0,0,0,2425,0,NA,NA
"69","Sumberharjo",2,2,2,12710,0.0232558139534884,1,7.86782061369001e-05
"70","Sambirejo",0,0,0,5146,0,NA,NA
"71","Madurejo",3,5,5,11780,0.0581395348837209,1.66666666666667,0.000141482739105829
"72","Gayamharjo",0,0,0,4008,0,NA,NA
"73","Bokoharjo",1,1,1,11233,0.0116279069767442,1,8.90234131576605e-05
"74","Trihanggo",4,7,9,18027,0.0813953488372093,1.75,0.000124812780828757
"75","Nogotirto",9,10,16,19319,0.116279069767442,1.11111111111111,9.20222463780619e-05
"76","Banyuraden",5,8,10,18381,0.0930232558139535,1.6,0.000108808008269409
"77","Balecatur",12,18,25,19806,0.209302325581395,1.5,0.000105186980376317
"78","Ambarketawang",8,17,22,22213,0.197674418604651,2.125,0.000123801377571692
"79","Purwobinangun",0,0,0,8661,0,NA,NA
"80","Pakembinangun",0,0,0,6711,0,NA,NA
"81","Harjobinangun",0,0,0,5524,0,NA,NA
"82","Hargobinangun",0,0,0,8368,0,NA,NA
"83","Candibinangun",1,1,1,5735,0.0116279069767442,1,0.0001743679163034
"84","Maguwoharjo",6,14,25,39086,0.162790697674419,2.33333333333333,0.000106602534581862
"85","Condongcatur",11,14,19,82992,0.162790697674419,1.27272727272727,2.08125208125208e-05
"86","Caturtunggal",9,19,44,61162,0.22093023255814,2.11111111111111,7.99334372468018e-05
