"","desakelurahan","epidemic.wave","week.of.cases","sum.of.cases","pop","frequency.index","duration.index","intensity.index"
"1","Mulyodadi",0,0,0,10702,0,NA,NA
"2","Sidomulyo",2,2,3,12413,0.0266666666666667,1,0.000120841053733989
"3","Sumbermulyo",2,4,5,14502,0.0533333333333333,2,0.000172390015170321
"4","Tamanan",7,11,14,13475,0.146666666666667,1.57142857142857,0.000148423005565863
"5","Jagalan",2,2,2,3401,0.0266666666666667,1,0.000294031167303734
"6","Singosaren",0,0,0,4511,0,NA,NA
"7","Wirokerten",3,3,3,13733,0.04,1,7.28173013908105e-05
"8","Jambidan",4,4,4,9234,0.0533333333333333,1,0.000108295429932857
"9","Potorono",0,0,0,12793,0,NA,NA
"10","Baturetno",6,6,7,17230,0.08,1,6.77113561617334e-05
"11","Banguntapan",10,19,24,50461,0.253333333333333,1.9,4.75614831255821e-05
"12","Bantul",1,1,1,15828,0.0133333333333333,1,6.31791761435431e-05
"13","Ringinharjo",0,0,0,7841,0,NA,NA
"14","Palbapang",3,4,5,12885,0.0533333333333333,1.33333333333333,0.000129349372655543
"15","Trirenggo",3,4,4,17015,0.0533333333333333,1.33333333333333,7.83622294054266e-05
"16","Sabdodadi",0,0,0,6623,0,NA,NA
"17","Dlingo",0,0,0,5348,0,NA,NA
"18","Jatimulyo",0,0,0,6277,0,NA,NA
"19","Mangunan",0,0,0,4510,0,NA,NA
"20","Muntuk",0,0,0,7855,0,NA,NA
"21","Temuwuh",0,0,0,6679,0,NA,NA
"22","Terong",0,0,0,5148,0,NA,NA
"23","Girirejo",0,0,0,4316,0,NA,NA
"24","Imogiri",4,5,5,3767,0.0666666666666667,1.25,0.000331829041677728
"25","Karangtengah",1,1,1,4636,0.0133333333333333,1,0.000215703192407248
"26","Karangtalun",0,1,1,2889,0.0133333333333333,Inf,Inf
"27","Kebonagung",1,1,1,3461,0.0133333333333333,1,0.000288933834151979
"28","Selopamioro",4,6,6,13436,0.08,1.5,0.000111640369157487
"29","Sriharjo",3,3,4,8552,0.04,1,0.000155908949173683
"30","Wukirsari",0,0,0,15766,0,NA,NA
"31","Canden",2,2,2,10596,0.0266666666666667,1,9.43752359380898e-05
"32","Patalan",2,2,2,11079,0.0266666666666667,1,9.02608538676776e-05
"33","Sumberagung",1,1,1,13902,0.0133333333333333,1,7.19320961012804e-05
"34","Trimulyo",10,12,13,17090,0.16,1.2,7.60678759508485e-05
"35","Tirtonirmolo",7,9,13,24636,0.12,1.28571428571429,7.53832950618143e-05
"36","Ngestiharjo",8,19,26,37374,0.253333333333333,2.375,8.69588483972815e-05
"37","Tamantirto",7,10,10,26570,0.133333333333333,1.42857142857143,5.37663315232002e-05
"38","Bangunjiwo",3,4,4,25832,0.0533333333333333,1.33333333333333,5.16155672550841e-05
"39","Donotirto",1,3,3,8052,0.04,3,0.0003725782414307
"40","Parangtritis",2,3,3,8126,0.04,1.5,0.00018459266551809
"41","Tirtohargo",0,0,0,2787,0,NA,NA
"42","Tirtomulyo",1,1,1,6517,0.0133333333333333,1,0.000153444836581249
"43","Tirtosari",0,0,0,3988,0,NA,NA
"44","Guwosari",1,1,2,12279,0.0133333333333333,1,0.000162879713331705
"45","Sendangsari",1,1,1,11185,0.0133333333333333,1,8.94054537326777e-05
"46","Triwidadi",1,1,1,10085,0.0133333333333333,1,9.91571641051066e-05
"47","Caturharjo",1,1,1,10737,0.0133333333333333,1,9.31358852565894e-05
"48","Gilangharjo",1,2,2,14787,0.0266666666666667,2,0.000135253939270981
"49","Triharjo",0,0,0,12076,0,NA,NA
"50","Wijirejo",0,0,0,10504,0,NA,NA
"51","Sitimulyo",1,1,1,18066,0.0133333333333333,1,5.53525960367541e-05
"52","Srimartani",7,7,7,15870,0.0933333333333333,1,6.30119722747322e-05
"53","Srimulyo",2,4,4,16201,0.0533333333333333,2,0.000123449169804333
"54","Bawuran",2,2,2,5731,0.0266666666666667,1,0.000174489617867737
"55","Pleret",1,1,1,12224,0.0133333333333333,1,8.18062827225131e-05
"56","Segoroyoso",0,0,0,8089,0,NA,NA
"57","Wonokromo",1,1,1,13679,0.0133333333333333,1,7.31047591198187e-05
"58","Wonolelo",0,0,0,4432,0,NA,NA
"59","Panjangrejo",2,2,3,8778,0.0266666666666667,1,0.000170881749829118
"60","Seloharjo",1,1,1,10350,0.0133333333333333,1,9.66183574879227e-05
"61","Srihardono",2,2,2,12753,0.0266666666666667,1,7.84129224496197e-05
"62","Gadingharjo",0,0,0,3456,0,NA,NA
"63","Gadingsari",1,2,2,9348,0.0266666666666667,2,0.000213949507916132
"64","Murtigading",0,0,0,7822,0,NA,NA
"65","Srigading",0,0,0,9188,0,NA,NA
"66","Argodadi",1,1,1,10602,0.0133333333333333,1,9.43218260705527e-05
"67","Argomulyo",3,4,4,13818,0.0533333333333333,1.33333333333333,9.64924977083032e-05
"68","Argorejo",4,6,7,12499,0.08,1.5,0.000140011200896072
"69","Argosari",0,0,0,8197,0,NA,NA
"70","Pendowoharjo",4,5,5,22964,0.0666666666666667,1.25,5.44330256052952e-05
"71","Timbulharjo",5,5,5,21371,0.0666666666666667,1,4.67923822001778e-05
"72","Bangunharjo",12,15,17,29174,0.2,1.25,4.85592193962661e-05
"73","Panggungharjo",9,15,26,33420,0.2,1.66666666666667,8.64419176806968e-05
"74","Poncosari",0,1,1,12018,0.0133333333333333,Inf,Inf
"75","Trimurti",3,3,3,16737,0.04,1,5.97478640138615e-05
