"","ID","ADM4_EN","WEEK","CASE","DATE"
"1",1,"Bausasran",1,0,2010-01-04
"2",1,"Bausasran",10,0,2010-03-08
"3",1,"Bausasran",28,0,2010-07-12
"4",1,"Bausasran",37,0,2010-09-13
"5",1,"Bausasran",46,1,2010-11-15
"6",1,"Bausasran",2,0,2010-01-11
"7",1,"Bausasran",20,0,2010-05-17
"8",1,"Bausasran",29,0,2010-07-19
"9",1,"Bausasran",47,1,2010-11-22
"10",1,"Bausasran",41,0,2010-10-11
"11",1,"Bausasran",12,2,2010-03-22
"12",1,"Bausasran",21,0,2010-05-24
"13",1,"Bausasran",39,0,2010-09-27
"14",1,"Bausasran",48,0,2010-11-29
"15",1,"Bausasran",4,0,2010-01-25
"16",1,"Bausasran",13,1,2010-03-29
"17",1,"Bausasran",31,0,2010-08-02
"18",1,"Bausasran",40,2,2010-10-04
"19",1,"Bausasran",49,1,2010-12-06
"20",1,"Bausasran",5,0,2010-02-01
"21",1,"Bausasran",23,2,2010-06-07
"22",1,"Bausasran",50,0,2010-12-13
"23",1,"Bausasran",44,1,2010-11-01
"24",1,"Bausasran",33,0,2010-08-16
"25",1,"Bausasran",15,0,2010-04-12
"26",1,"Bausasran",42,0,2010-10-18
"27",1,"Bausasran",51,0,2010-12-20
"28",1,"Bausasran",52,1,2010-12-27
"29",1,"Bausasran",7,0,2010-02-15
"30",1,"Bausasran",34,0,2010-08-23
"31",1,"Bausasran",43,0,2010-10-25
"32",1,"Bausasran",38,0,2010-09-20
"33",1,"Bausasran",36,1,2010-09-06
"34",1,"Bausasran",26,0,2010-06-28
"35",1,"Bausasran",35,0,2010-08-30
"36",1,"Bausasran",45,0,2010-11-08
"37",1,"Bausasran",25,2,2010-06-21
"38",1,"Bausasran",18,1,2010-05-03
"39",1,"Bausasran",27,0,2010-07-05
"40",1,"Bausasran",22,0,2010-05-31
"41",1,"Bausasran",32,1,2010-08-09
"42",1,"Bausasran",17,0,2010-04-26
"43",1,"Bausasran",19,0,2010-05-10
"44",1,"Bausasran",14,0,2010-04-05
"45",1,"Bausasran",30,0,2010-07-26
"46",1,"Bausasran",24,0,2010-06-14
"47",1,"Bausasran",11,3,2010-03-15
"48",1,"Bausasran",6,0,2010-02-08
"49",1,"Bausasran",16,0,2010-04-19
"50",1,"Bausasran",3,0,2010-01-18
"51",1,"Bausasran",8,0,2010-02-22
"52",1,"Bausasran",9,0,2010-03-01
"53",2,"Tegalpanggung",1,0,2010-01-04
"54",2,"Tegalpanggung",41,0,2010-10-11
"55",2,"Tegalpanggung",46,0,2010-11-15
"56",2,"Tegalpanggung",4,0,2010-01-25
"57",2,"Tegalpanggung",52,0,2010-12-27
"58",2,"Tegalpanggung",38,0,2010-09-20
"59",2,"Tegalpanggung",48,0,2010-11-29
"60",2,"Tegalpanggung",49,1,2010-12-06
"61",2,"Tegalpanggung",44,0,2010-11-01
"62",2,"Tegalpanggung",51,2,2010-12-20
"63",2,"Tegalpanggung",40,0,2010-10-04
"64",2,"Tegalpanggung",17,0,2010-04-26
"65",2,"Tegalpanggung",12,2,2010-03-22
"66",2,"Tegalpanggung",37,0,2010-09-13
"67",2,"Tegalpanggung",50,2,2010-12-13
"68",2,"Tegalpanggung",33,1,2010-08-16
"69",2,"Tegalpanggung",24,0,2010-06-14
"70",2,"Tegalpanggung",28,0,2010-07-12
"71",2,"Tegalpanggung",45,0,2010-11-08
"72",2,"Tegalpanggung",43,0,2010-10-25
"73",2,"Tegalpanggung",25,1,2010-06-21
"74",2,"Tegalpanggung",20,1,2010-05-17
"75",2,"Tegalpanggung",31,0,2010-08-02
"76",2,"Tegalpanggung",35,1,2010-08-30
"77",2,"Tegalpanggung",32,0,2010-08-09
"78",2,"Tegalpanggung",23,2,2010-06-07
"79",2,"Tegalpanggung",47,2,2010-11-22
"80",2,"Tegalpanggung",39,1,2010-09-27
"81",2,"Tegalpanggung",36,3,2010-09-06
"82",2,"Tegalpanggung",9,0,2010-03-01
"83",2,"Tegalpanggung",10,0,2010-03-08
"84",2,"Tegalpanggung",19,0,2010-05-10
"85",2,"Tegalpanggung",22,0,2010-05-31
"86",2,"Tegalpanggung",16,1,2010-04-19
"87",2,"Tegalpanggung",2,1,2010-01-11
"88",2,"Tegalpanggung",11,2,2010-03-15
"89",2,"Tegalpanggung",29,1,2010-07-19
"90",2,"Tegalpanggung",8,0,2010-02-22
"91",2,"Tegalpanggung",15,2,2010-04-12
"92",2,"Tegalpanggung",3,0,2010-01-18
"93",2,"Tegalpanggung",21,1,2010-05-24
"94",2,"Tegalpanggung",30,0,2010-07-26
"95",2,"Tegalpanggung",7,0,2010-02-15
"96",2,"Tegalpanggung",27,0,2010-07-05
"97",2,"Tegalpanggung",13,4,2010-03-29
"98",2,"Tegalpanggung",34,0,2010-08-23
"99",2,"Tegalpanggung",42,1,2010-10-18
"100",2,"Tegalpanggung",5,1,2010-02-01
"101",2,"Tegalpanggung",14,2,2010-04-05
"102",2,"Tegalpanggung",26,1,2010-06-28
"103",2,"Tegalpanggung",6,0,2010-02-08
"104",2,"Tegalpanggung",18,1,2010-05-03
"105",3,"Suryatmajan",39,1,2010-09-27
"106",3,"Suryatmajan",22,1,2010-05-31
"107",3,"Suryatmajan",17,0,2010-04-26
"108",3,"Suryatmajan",32,1,2010-08-09
"109",3,"Suryatmajan",33,1,2010-08-16
"110",3,"Suryatmajan",45,0,2010-11-08
"111",3,"Suryatmajan",44,0,2010-11-01
"112",3,"Suryatmajan",51,2,2010-12-20
"113",3,"Suryatmajan",43,0,2010-10-25
"114",3,"Suryatmajan",52,0,2010-12-27
"115",3,"Suryatmajan",50,0,2010-12-13
"116",3,"Suryatmajan",19,2,2010-05-10
"117",3,"Suryatmajan",35,0,2010-08-30
"118",3,"Suryatmajan",23,0,2010-06-07
"119",3,"Suryatmajan",28,0,2010-07-12
"120",3,"Suryatmajan",29,1,2010-07-19
"121",3,"Suryatmajan",36,0,2010-09-06
"122",3,"Suryatmajan",9,0,2010-03-01
"123",3,"Suryatmajan",24,1,2010-06-14
"124",3,"Suryatmajan",1,0,2010-01-04
"125",3,"Suryatmajan",31,0,2010-08-02
"126",3,"Suryatmajan",13,0,2010-03-29
"127",3,"Suryatmajan",37,0,2010-09-13
"128",3,"Suryatmajan",46,0,2010-11-15
"129",3,"Suryatmajan",2,1,2010-01-11
"130",3,"Suryatmajan",20,2,2010-05-17
"131",3,"Suryatmajan",8,1,2010-02-22
"132",3,"Suryatmajan",47,0,2010-11-22
"133",3,"Suryatmajan",41,0,2010-10-11
"134",3,"Suryatmajan",30,4,2010-07-26
"135",3,"Suryatmajan",21,2,2010-05-24
"136",3,"Suryatmajan",15,0,2010-04-12
"137",3,"Suryatmajan",48,0,2010-11-29
"138",3,"Suryatmajan",10,0,2010-03-08
"139",3,"Suryatmajan",34,0,2010-08-23
"140",3,"Suryatmajan",16,0,2010-04-19
"141",3,"Suryatmajan",40,0,2010-10-04
"142",3,"Suryatmajan",49,1,2010-12-06
"143",3,"Suryatmajan",26,1,2010-06-28
"144",3,"Suryatmajan",11,0,2010-03-15
"145",3,"Suryatmajan",14,0,2010-04-05
"146",3,"Suryatmajan",38,1,2010-09-20
"147",3,"Suryatmajan",12,0,2010-03-22
"148",3,"Suryatmajan",42,1,2010-10-18
"149",3,"Suryatmajan",18,1,2010-05-03
"150",3,"Suryatmajan",6,0,2010-02-08
"151",3,"Suryatmajan",4,0,2010-01-25
"152",3,"Suryatmajan",7,0,2010-02-15
"153",3,"Suryatmajan",25,0,2010-06-21
"154",3,"Suryatmajan",5,1,2010-02-01
"155",3,"Suryatmajan",3,0,2010-01-18
"156",3,"Suryatmajan",27,1,2010-07-05
"157",4,"Sosromenduran",28,0,2010-07-12
"158",4,"Sosromenduran",43,0,2010-10-25
"159",4,"Sosromenduran",29,0,2010-07-19
"160",4,"Sosromenduran",47,1,2010-11-22
"161",4,"Sosromenduran",44,0,2010-11-01
"162",4,"Sosromenduran",23,1,2010-06-07
"163",4,"Sosromenduran",42,0,2010-10-18
"164",4,"Sosromenduran",45,0,2010-11-08
"165",4,"Sosromenduran",1,0,2010-01-04
"166",4,"Sosromenduran",33,1,2010-08-16
"167",4,"Sosromenduran",19,0,2010-05-10
"168",4,"Sosromenduran",37,0,2010-09-13
"169",4,"Sosromenduran",46,0,2010-11-15
"170",4,"Sosromenduran",31,0,2010-08-02
"171",4,"Sosromenduran",35,0,2010-08-30
"172",4,"Sosromenduran",17,1,2010-04-26
"173",4,"Sosromenduran",38,0,2010-09-20
"174",4,"Sosromenduran",32,0,2010-08-09
"175",4,"Sosromenduran",30,0,2010-07-26
"176",4,"Sosromenduran",36,0,2010-09-06
"177",4,"Sosromenduran",39,1,2010-09-27
"178",4,"Sosromenduran",48,0,2010-11-29
"179",4,"Sosromenduran",10,0,2010-03-08
"180",4,"Sosromenduran",13,2,2010-03-29
"181",4,"Sosromenduran",22,0,2010-05-31
"182",4,"Sosromenduran",40,0,2010-10-04
"183",4,"Sosromenduran",20,1,2010-05-17
"184",4,"Sosromenduran",11,0,2010-03-15
"185",4,"Sosromenduran",14,2,2010-04-05
"186",4,"Sosromenduran",50,0,2010-12-13
"187",4,"Sosromenduran",41,0,2010-10-11
"188",4,"Sosromenduran",27,0,2010-07-05
"189",4,"Sosromenduran",21,0,2010-05-24
"190",4,"Sosromenduran",24,0,2010-06-14
"191",4,"Sosromenduran",51,0,2010-12-20
"192",4,"Sosromenduran",4,2,2010-01-25
"193",4,"Sosromenduran",34,0,2010-08-23
"194",4,"Sosromenduran",16,1,2010-04-19
"195",4,"Sosromenduran",25,0,2010-06-21
"196",4,"Sosromenduran",52,0,2010-12-27
"197",4,"Sosromenduran",26,2,2010-06-28
"198",4,"Sosromenduran",8,0,2010-02-22
"199",4,"Sosromenduran",9,0,2010-03-01
"200",4,"Sosromenduran",6,0,2010-02-08
"201",4,"Sosromenduran",12,1,2010-03-22
"202",4,"Sosromenduran",15,0,2010-04-12
"203",4,"Sosromenduran",7,0,2010-02-15
"204",4,"Sosromenduran",3,0,2010-01-18
"205",4,"Sosromenduran",2,0,2010-01-11
"206",4,"Sosromenduran",5,0,2010-02-01
"207",4,"Sosromenduran",18,0,2010-05-03
"208",4,"Sosromenduran",49,0,2010-12-06
"209",5,"Pringgokusuman",27,3,2010-07-05
"210",5,"Pringgokusuman",26,2,2010-06-28
"211",5,"Pringgokusuman",28,1,2010-07-12
"212",5,"Pringgokusuman",1,0,2010-01-04
"213",5,"Pringgokusuman",9,0,2010-03-01
"214",5,"Pringgokusuman",49,0,2010-12-06
"215",5,"Pringgokusuman",29,0,2010-07-19
"216",5,"Pringgokusuman",48,0,2010-11-29
"217",5,"Pringgokusuman",6,0,2010-02-08
"218",5,"Pringgokusuman",12,0,2010-03-22
"219",5,"Pringgokusuman",8,0,2010-02-22
"220",5,"Pringgokusuman",46,0,2010-11-15
"221",5,"Pringgokusuman",7,0,2010-02-15
"222",5,"Pringgokusuman",51,4,2010-12-20
"223",5,"Pringgokusuman",30,1,2010-07-26
"224",5,"Pringgokusuman",45,0,2010-11-08
"225",5,"Pringgokusuman",5,1,2010-02-01
"226",5,"Pringgokusuman",52,0,2010-12-27
"227",5,"Pringgokusuman",41,0,2010-10-11
"228",5,"Pringgokusuman",2,0,2010-01-11
"229",5,"Pringgokusuman",3,0,2010-01-18
"230",5,"Pringgokusuman",44,1,2010-11-01
"231",5,"Pringgokusuman",24,0,2010-06-14
"232",5,"Pringgokusuman",15,2,2010-04-12
"233",5,"Pringgokusuman",4,0,2010-01-25
"234",5,"Pringgokusuman",39,0,2010-09-27
"235",5,"Pringgokusuman",40,0,2010-10-04
"236",5,"Pringgokusuman",34,0,2010-08-23
"237",5,"Pringgokusuman",16,0,2010-04-19
"238",5,"Pringgokusuman",43,0,2010-10-25
"239",5,"Pringgokusuman",47,0,2010-11-22
"240",5,"Pringgokusuman",38,1,2010-09-20
"241",5,"Pringgokusuman",35,0,2010-08-30
"242",5,"Pringgokusuman",17,0,2010-04-26
