"","ADM4_EN","ADM2_EN","ADM3_EN","X","ID","WEEK","CASE","DATE","geo"
"47","Baciro","Kota Yogyakarta","Gondokusuman",477,10,15,0,"2015-04-13","Kota Yogyakarta-Gondokusuman-Baciro"
"48","Baciro","Kota Yogyakarta","Gondokusuman",478,10,41,0,"2015-10-12","Kota Yogyakarta-Gondokusuman-Baciro"
"49","Baciro","Kota Yogyakarta","Gondokusuman",479,10,9,1,"2015-03-02","Kota Yogyakarta-Gondokusuman-Baciro"
"50","Baciro","Kota Yogyakarta","Gondokusuman",471,10,51,0,"2015-12-21","Kota Yogyakarta-Gondokusuman-Baciro"
"51","Baciro","Kota Yogyakarta","Gondokusuman",469,10,48,0,"2015-11-30","Kota Yogyakarta-Gondokusuman-Baciro"
"52","Baciro","Kota Yogyakarta","Gondokusuman",470,10,13,1,"2015-03-30","Kota Yogyakarta-Gondokusuman-Baciro"
"53","Bausasran","Kota Yogyakarta","Danurejan",51,1,8,0,"2015-02-23","Kota Yogyakarta-Danurejan-Bausasran"
"54","Bausasran","Kota Yogyakarta","Danurejan",50,1,3,1,"2015-01-19","Kota Yogyakarta-Danurejan-Bausasran"
"55","Bausasran","Kota Yogyakarta","Danurejan",42,1,17,2,"2015-04-27","Kota Yogyakarta-Danurejan-Bausasran"
"56","Bausasran","Kota Yogyakarta","Danurejan",43,1,19,0,"2015-05-11","Kota Yogyakarta-Danurejan-Bausasran"
"57","Bausasran","Kota Yogyakarta","Danurejan",44,1,14,0,"2015-04-06","Kota Yogyakarta-Danurejan-Bausasran"
"58","Bausasran","Kota Yogyakarta","Danurejan",45,1,30,0,"2015-07-27","Kota Yogyakarta-Danurejan-Bausasran"
"59","Bausasran","Kota Yogyakarta","Danurejan",46,1,24,1,"2015-06-15","Kota Yogyakarta-Danurejan-Bausasran"
"60","Bausasran","Kota Yogyakarta","Danurejan",47,1,11,0,"2015-03-16","Kota Yogyakarta-Danurejan-Bausasran"
"61","Bausasran","Kota Yogyakarta","Danurejan",48,1,6,0,"2015-02-09","Kota Yogyakarta-Danurejan-Bausasran"
"62","Bausasran","Kota Yogyakarta","Danurejan",49,1,16,0,"2015-04-20","Kota Yogyakarta-Danurejan-Bausasran"
"63","Bausasran","Kota Yogyakarta","Danurejan",22,1,50,0,"2015-12-14","Kota Yogyakarta-Danurejan-Bausasran"
"64","Bausasran","Kota Yogyakarta","Danurejan",23,1,44,0,"2015-11-02","Kota Yogyakarta-Danurejan-Bausasran"
"65","Bausasran","Kota Yogyakarta","Danurejan",52,1,9,2,"2015-03-02","Kota Yogyakarta-Danurejan-Bausasran"
"66","Bausasran","Kota Yogyakarta","Danurejan",12,1,21,0,"2015-05-25","Kota Yogyakarta-Danurejan-Bausasran"
"67","Bausasran","Kota Yogyakarta","Danurejan",13,1,39,0,"2015-09-28","Kota Yogyakarta-Danurejan-Bausasran"
"68","Bausasran","Kota Yogyakarta","Danurejan",14,1,48,0,"2015-11-30","Kota Yogyakarta-Danurejan-Bausasran"
"69","Bausasran","Kota Yogyakarta","Danurejan",15,1,4,0,"2015-01-26","Kota Yogyakarta-Danurejan-Bausasran"
"70","Bausasran","Kota Yogyakarta","Danurejan",16,1,13,1,"2015-03-30","Kota Yogyakarta-Danurejan-Bausasran"
"71","Bausasran","Kota Yogyakarta","Danurejan",17,1,31,0,"2015-08-03","Kota Yogyakarta-Danurejan-Bausasran"
"72","Bausasran","Kota Yogyakarta","Danurejan",18,1,40,0,"2015-10-05","Kota Yogyakarta-Danurejan-Bausasran"
"73","Bausasran","Kota Yogyakarta","Danurejan",19,1,49,0,"2015-12-07","Kota Yogyakarta-Danurejan-Bausasran"
"74","Bausasran","Kota Yogyakarta","Danurejan",20,1,5,1,"2015-02-02","Kota Yogyakarta-Danurejan-Bausasran"
"75","Bausasran","Kota Yogyakarta","Danurejan",21,1,23,0,"2015-06-08","Kota Yogyakarta-Danurejan-Bausasran"
"76","Bausasran","Kota Yogyakarta","Danurejan",36,1,45,0,"2015-11-09","Kota Yogyakarta-Danurejan-Bausasran"
"77","Bausasran","Kota Yogyakarta","Danurejan",37,1,25,0,"2015-06-22","Kota Yogyakarta-Danurejan-Bausasran"
"78","Bausasran","Kota Yogyakarta","Danurejan",38,1,18,0,"2015-05-04","Kota Yogyakarta-Danurejan-Bausasran"
"79","Bausasran","Kota Yogyakarta","Danurejan",39,1,27,0,"2015-07-06","Kota Yogyakarta-Danurejan-Bausasran"
"80","Bausasran","Kota Yogyakarta","Danurejan",40,1,22,0,"2015-06-01","Kota Yogyakarta-Danurejan-Bausasran"
"81","Bausasran","Kota Yogyakarta","Danurejan",41,1,32,0,"2015-08-10","Kota Yogyakarta-Danurejan-Bausasran"
"82","Bausasran","Kota Yogyakarta","Danurejan",1,1,1,0,"2015-01-05","Kota Yogyakarta-Danurejan-Bausasran"
"83","Bausasran","Kota Yogyakarta","Danurejan",2,1,10,1,"2015-03-09","Kota Yogyakarta-Danurejan-Bausasran"
"84","Bausasran","Kota Yogyakarta","Danurejan",3,1,28,0,"2015-07-13","Kota Yogyakarta-Danurejan-Bausasran"
"85","Bausasran","Kota Yogyakarta","Danurejan",4,1,37,0,"2015-09-14","Kota Yogyakarta-Danurejan-Bausasran"
"86","Bausasran","Kota Yogyakarta","Danurejan",5,1,46,0,"2015-11-16","Kota Yogyakarta-Danurejan-Bausasran"
"87","Bausasran","Kota Yogyakarta","Danurejan",6,1,2,0,"2015-01-12","Kota Yogyakarta-Danurejan-Bausasran"
"88","Bausasran","Kota Yogyakarta","Danurejan",7,1,20,0,"2015-05-18","Kota Yogyakarta-Danurejan-Bausasran"
"89","Bausasran","Kota Yogyakarta","Danurejan",8,1,29,0,"2015-07-20","Kota Yogyakarta-Danurejan-Bausasran"
"90","Bausasran","Kota Yogyakarta","Danurejan",9,1,47,0,"2015-11-23","Kota Yogyakarta-Danurejan-Bausasran"
"91","Bausasran","Kota Yogyakarta","Danurejan",10,1,41,0,"2015-10-12","Kota Yogyakarta-Danurejan-Bausasran"
"92","Bausasran","Kota Yogyakarta","Danurejan",11,1,12,0,"2015-03-23","Kota Yogyakarta-Danurejan-Bausasran"
"93","Bausasran","Kota Yogyakarta","Danurejan",25,1,15,0,"2015-04-13","Kota Yogyakarta-Danurejan-Bausasran"
"94","Bausasran","Kota Yogyakarta","Danurejan",26,1,42,0,"2015-10-19","Kota Yogyakarta-Danurejan-Bausasran"
"95","Bausasran","Kota Yogyakarta","Danurejan",27,1,51,0,"2015-12-21","Kota Yogyakarta-Danurejan-Bausasran"
"96","Bausasran","Kota Yogyakarta","Danurejan",28,1,52,0,"2015-12-28","Kota Yogyakarta-Danurejan-Bausasran"
"97","Bausasran","Kota Yogyakarta","Danurejan",29,1,7,0,"2015-02-16","Kota Yogyakarta-Danurejan-Bausasran"
"98","Bausasran","Kota Yogyakarta","Danurejan",30,1,34,0,"2015-08-24","Kota Yogyakarta-Danurejan-Bausasran"
"99","Bausasran","Kota Yogyakarta","Danurejan",31,1,43,0,"2015-10-26","Kota Yogyakarta-Danurejan-Bausasran"
"100","Bausasran","Kota Yogyakarta","Danurejan",32,1,38,0,"2015-09-21","Kota Yogyakarta-Danurejan-Bausasran"
"101","Bausasran","Kota Yogyakarta","Danurejan",33,1,36,0,"2015-09-07","Kota Yogyakarta-Danurejan-Bausasran"
"102","Bausasran","Kota Yogyakarta","Danurejan",34,1,26,0,"2015-06-29","Kota Yogyakarta-Danurejan-Bausasran"
"103","Bausasran","Kota Yogyakarta","Danurejan",35,1,35,0,"2015-08-31","Kota Yogyakarta-Danurejan-Bausasran"
"104","Bausasran","Kota Yogyakarta","Danurejan",24,1,33,0,"2015-08-17","Kota Yogyakarta-Danurejan-Bausasran"
"105","Bener","Kota Yogyakarta","Tegalrejo",1762,34,8,0,"2015-02-23","Kota Yogyakarta-Tegalrejo-Bener"
"106","Bener","Kota Yogyakarta","Tegalrejo",1751,34,23,0,"2015-06-08","Kota Yogyakarta-Tegalrejo-Bener"
"107","Bener","Kota Yogyakarta","Tegalrejo",1752,34,26,0,"2015-06-29","Kota Yogyakarta-Tegalrejo-Bener"
"108","Bener","Kota Yogyakarta","Tegalrejo",1753,34,17,0,"2015-04-27","Kota Yogyakarta-Tegalrejo-Bener"
"109","Bener","Kota Yogyakarta","Tegalrejo",1754,34,6,0,"2015-02-09","Kota Yogyakarta-Tegalrejo-Bener"
"110","Bener","Kota Yogyakarta","Tegalrejo",1755,34,15,3,"2015-04-13","Kota Yogyakarta-Tegalrejo-Bener"
"111","Bener","Kota Yogyakarta","Tegalrejo",1756,34,16,0,"2015-04-20","Kota Yogyakarta-Tegalrejo-Bener"
"112","Bener","Kota Yogyakarta","Tegalrejo",1757,34,50,0,"2015-12-14","Kota Yogyakarta-Tegalrejo-Bener"
"113","Bener","Kota Yogyakarta","Tegalrejo",1758,34,9,1,"2015-03-02","Kota Yogyakarta-Tegalrejo-Bener"
"114","Bener","Kota Yogyakarta","Tegalrejo",1759,34,13,0,"2015-03-30","Kota Yogyakarta-Tegalrejo-Bener"
"115","Bener","Kota Yogyakarta","Tegalrejo",1760,34,2,2,"2015-01-12","Kota Yogyakarta-Tegalrejo-Bener"
"116","Bener","Kota Yogyakarta","Tegalrejo",1761,34,10,0,"2015-03-09","Kota Yogyakarta-Tegalrejo-Bener"
"117","Bener","Kota Yogyakarta","Tegalrejo",1734,34,25,0,"2015-06-22","Kota Yogyakarta-Tegalrejo-Bener"
"118","Bener","Kota Yogyakarta","Tegalrejo",1735,34,43,0,"2015-10-26","Kota Yogyakarta-Tegalrejo-Bener"
"119","Bener","Kota Yogyakarta","Tegalrejo",1736,34,29,0,"2015-07-20","Kota Yogyakarta-Tegalrejo-Bener"
"120","Bener","Kota Yogyakarta","Tegalrejo",1737,34,20,0,"2015-05-18","Kota Yogyakarta-Tegalrejo-Bener"
"121","Bener","Kota Yogyakarta","Tegalrejo",1738,34,35,0,"2015-08-31","Kota Yogyakarta-Tegalrejo-Bener"
"122","Bener","Kota Yogyakarta","Tegalrejo",1739,34,11,0,"2015-03-16","Kota Yogyakarta-Tegalrejo-Bener"
"123","Bener","Kota Yogyakarta","Tegalrejo",1740,34,38,0,"2015-09-21","Kota Yogyakarta-Tegalrejo-Bener"
"124","Bener","Kota Yogyakarta","Tegalrejo",1741,34,12,2,"2015-03-23","Kota Yogyakarta-Tegalrejo-Bener"
"125","Bener","Kota Yogyakarta","Tegalrejo",1742,34,21,0,"2015-05-25","Kota Yogyakarta-Tegalrejo-Bener"
"126","Bener","Kota Yogyakarta","Tegalrejo",1743,34,3,0,"2015-01-19","Kota Yogyakarta-Tegalrejo-Bener"
"127","Bener","Kota Yogyakarta","Tegalrejo",1744,34,36,0,"2015-09-07","Kota Yogyakarta-Tegalrejo-Bener"
