"","desakelurahan","epidemic.wave","week.of.cases","sum.of.cases","pop","frequency.index","duration.index","intensity.index"
"1","Mulyodadi",3,3,4,10833,0.04,1,0.000123080710175698
"2","Sidomulyo",5,9,9,12563,0.12,1.8,0.000143277879487384
"3","Sumbermulyo",5,5,5,14675,0.0666666666666667,1,6.81431005110732e-05
"4","Tamanan",6,8,9,14616,0.106666666666667,1.33333333333333,0.000102627257799672
"5","Jagalan",0,0,0,3690,0,NA,NA
"6","Singosaren",1,1,1,4893,0.0133333333333333,1,0.000204373594931535
"7","Wirokerten",8,9,11,14898,0.12,1.125,9.22942676869378e-05
"8","Jambidan",3,6,6,10017,0.08,2,0.000199660577019068
"9","Potorono",6,11,12,13879,0.146666666666667,1.83333333333333,0.000144102601051949
"10","Baturetno",7,10,13,18690,0.133333333333333,1.42857142857143,9.93655889322021e-05
"11","Banguntapan",15,27,40,54737,0.36,1.8,4.87178081858097e-05
"12","Bantul",7,9,14,16293,0.12,1.28571428571429,0.000122752102129749
"13","Ringinharjo",1,1,1,8072,0.0133333333333333,1,0.00012388503468781
"14","Palbapang",5,5,7,13263,0.0666666666666667,1,0.000105556812184272
"15","Trirenggo",6,8,11,17514,0.106666666666667,1.33333333333333,0.000104678162232119
"16","Sabdodadi",8,9,10,6818,0.12,1.125,0.000183338222352596
"17","Dlingo",0,0,0,5426,0,NA,NA
"18","Jatimulyo",0,0,0,6369,0,NA,NA
"19","Mangunan",1,2,2,4576,0.0266666666666667,2,0.000437062937062937
"20","Muntuk",1,1,1,7970,0.0133333333333333,1,0.000125470514429109
"21","Temuwuh",0,0,0,6778,0,NA,NA
"22","Terong",1,1,1,5223,0.0133333333333333,1,0.00019146084625694
"23","Girirejo",2,2,2,4398,0.0266666666666667,1,0.00022737608003638
"24","Imogiri",1,2,3,3839,0.0266666666666667,2,0.000781453503516541
"25","Karangtengah",0,0,0,4725,0,NA,NA
"26","Karangtalun",1,1,1,2944,0.0133333333333333,1,0.000339673913043478
"27","Kebonagung",2,2,2,3526,0.0266666666666667,1,0.000283607487237663
"28","Selopamioro",1,1,1,13690,0.0133333333333333,1,7.30460189919649e-05
