"","ADM2_EN","YEAR","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52"
"1","Bantul",2010,7,39,54,40,55,41,38,39,35,39,32,39,28,33,42,35,48,33,42,43,42,39,36,37,35,30,19,19,45,34,11,16,23,24,34,19,14,17,25,15,15,10,21,15,17,22,18,29,31,25,27,19
"2","Bantul",2011,12,15,20,12,14,21,11,11,21,9,4,8,4,4,3,4,3,1,5,3,2,3,3,3,2,3,3,1,0,0,0,1,1,1,0,1,0,3,2,2,2,1,0,0,2,1,1,1,1,2,4,2
"3","Bantul",2012,3,3,1,1,3,4,3,4,2,5,4,4,3,4,3,5,1,7,6,4,7,7,6,12,3,3,7,6,6,4,2,6,0,1,2,5,2,3,3,5,6,6,4,5,2,3,5,9,12,18,21,17
"4","Bantul",2013,31,19,20,44,32,39,35,42,41,41,37,44,42,49,33,36,43,41,23,32,28,23,19,17,20,22,21,22,25,25,13,13,18,16,15,18,18,7,11,14,19,7,13,9,8,11,8,6,11,12,11,5
"5","Bantul",2014,9,11,6,8,7,13,8,13,15,19,9,12,15,19,18,18,17,15,32,22,20,4,10,14,12,8,16,4,9,9,11,9,14,12,8,8,10,9,10,8,12,10,14,14,11,8,6,10,17,9,11,16
"6","Bantul",2015,28,42,55,52,58,63,35,47,47,49,35,22,33,29,46,40,39,42,52,51,37,41,37,30,29,28,19,23,23,10,17,13,13,10,15,19,15,8,13,9,15,12,7,19,6,9,4,7,11,13,12,8
