"","desakelurahan","epidemic.wave","week.of.cases","sum.of.cases","pop","frequency.index","duration.index","intensity.index"
"1","Bausasran",10,15,21,6379,0.333333333333333,1.5,0.00032920520457752
"2","Tegalpanggung",15,24,37,7836,0.533333333333333,1.6,0.000314786455674664
"3","Suryatmajan",12,20,27,4309,0.444444444444444,1.66666666666667,0.000522162914829427
"4","Sosromenduran",9,12,16,6390,0.266666666666667,1.33333333333333,0.000278212484785255
"5","Pringgokusuman",11,20,34,10968,0.444444444444444,1.81818181818182,0.000281811550958159
"6","Demangan",14,25,33,10655,0.555555555555556,1.78571428571429,0.000221224106723872
"7","Klitren",12,23,30,10423,0.511111111111111,1.91666666666667,0.000239854168665451
"8","Terban",9,25,46,9396,0.555555555555556,2.77777777777778,0.000543966699777683
"9","Kotabaru",11,14,18,2543,0.311111111111111,1.27272727272727,0.00064347763915204
"10","Baciro",16,32,66,12729,0.711111111111111,2,0.000324063162856469
"11","Prawirodirjan",9,22,32,8325,0.488888888888889,2.44444444444444,0.000427093760427094
"12","Ngupasan",10,20,26,4836,0.444444444444444,2,0.000537634408602151
"13","Bumijo",15,22,31,9030,0.488888888888889,1.46666666666667,0.000228866740494647
"14","Gowongan",8,14,14,6722,0.311111111111111,1.75,0.000260339184766439
"15","Cokrodiningratan",11,18,32,7934,0.4,1.63636363636364,0.000366661319522424
"16","Rejowinangun",13,20,35,11598,0.444444444444444,1.53846153846154,0.000232135514080677
"17","Prenggan",11,18,24,10800,0.4,1.63636363636364,0.000202020202020202
"18","Purbayan",9,13,18,9062,0.288888888888889,1.44444444444444,0.000220701831825204
"19","Panembahan",11,16,25,7402,0.355555555555556,1.45454545454545,0.000307042322713763
"20","Kadipaten",7,10,11,5527,0.222222222222222,1.42857142857143,0.000284318540153532
"21","Patehan",14,16,20,4718,0.355555555555556,1.14285714285714,0.000302791739841337
"22","Suryodiningratan",11,29,60,10315,0.644444444444444,2.63636363636364,0.000528797426519191
"23","Gedongkiwo",14,37,70,12457,0.822222222222222,2.64285714285714,0.000401380749779241
"24","Mantrijeron",12,21,33,8806,0.466666666666667,1.75,0.000312287076992959
"25","Wirogunan",12,23,34,11046,0.511111111111111,1.91666666666667,0.000256503108214135
"26","Keparakan",12,24,32,8783,0.533333333333333,2,0.000303616835553531
"27","Brontokusuman",15,22,30,9755,0.488888888888889,1.46666666666667,0.000205023065094823
"28","Ngampilan",13,29,53,8941,0.644444444444444,2.23076923076923,0.000455980659537309
"29","Notoprajan",13,20,31,7545,0.444444444444444,1.53846153846154,0.000316052403527553
"30","Gunungketur",11,12,13,4170,0.266666666666667,1.09090909090909,0.000283409635927622
"31","Purwokinanti",10,18,19,5239,0.4,1.8,0.000362664630654705
"32","Karangwaru",10,18,24,9438,0.4,1.8,0.000254291163382072
"33","Kricak",12,29,39,12515,0.644444444444444,2.41666666666667,0.000259688373951258
"34","Bener",11,15,20,4965,0.333333333333333,1.36363636363636,0.000366199761970155
"35","Tegalrejo",9,17,22,8351,0.377777777777778,1.88888888888889,0.000292712782234995
"36","Pandeyan",13,16,19,14474,0.355555555555556,1.23076923076923,0.00010097681784845
"37","Sorosutan",15,34,53,16172,0.755555555555556,2.26666666666667,0.000218484623629318
"38","Giwangan",14,24,34,8386,0.533333333333333,1.71428571428571,0.000289598310108685
"39","Warungboto",11,20,31,11658,0.444444444444444,1.81818181818182,0.000241738018372089
"40","Mujamuju",14,22,32,11566,0.488888888888889,1.57142857142857,0.000197623576492676
"41","Semaki",6,11,17,5324,0.244444444444444,1.83333333333333,0.000532181317305284
"42","Tahunan",10,20,32,9931,0.444444444444444,2,0.000322223341053268
"43","Patangpuluhan",14,23,32,6233,0.511111111111111,1.64285714285714,0.000366711741651578
"44","Wirobrajan",11,23,37,9337,0.511111111111111,2.09090909090909,0.00036024808435647
"45","Pakuncen",17,32,52,9514,0.711111111111111,1.88235294117647,0.000321507623440379
