"","desakelurahan","epidemic.wave","week.of.cases","sum.of.cases","pop","frequency.index","duration.index","intensity.index"
"1","Mulyodadi",7,7,8,10870,0.0933333333333333,1,0.000105138651596793
"2","Sidomulyo",3,4,7,12607,0.0533333333333333,1.33333333333333,0.000185082361650935
"3","Sumbermulyo",8,9,14,14729,0.12,1.125,0.000118813225609342
"4","Tamanan",10,21,44,14669,0.28,2.1,0.00029995228031904
"5","Jagalan",3,3,4,3703,0.04,1,0.00036006841299847
"6","Singosaren",4,7,7,4913,0.0933333333333333,1.75,0.000356197842458783
"7","Wirokerten",11,24,32,14953,0.32,2.18181818181818,0.000194548980745731
"8","Jambidan",10,23,35,10052,0.306666666666667,2.3,0.000348189415041783
"9","Potorono",10,19,24,13932,0.253333333333333,1.9,0.000172265288544358
"10","Baturetno",11,23,38,18756,0.306666666666667,2.09090909090909,0.000184183485527056
"11","Banguntapan",12,32,89,54910,0.426666666666667,2.66666666666667,0.000135069507679233
"12","Bantul",9,17,27,16338,0.226666666666667,1.88888888888889,0.000183621006243114
"13","Ringinharjo",4,6,7,8093,0.08,1.5,0.000216236253552453
"14","Palbapang",5,5,7,13299,0.0666666666666667,1,0.000105271073013008
"15","Trirenggo",8,17,22,17561,0.226666666666667,2.125,0.000156597004726382
"16","Sabdodadi",4,4,5,6837,0.0533333333333333,1,0.000182828726049437
"17","Dlingo",1,2,2,5445,0.0266666666666667,2,0.000367309458218549
"18","Jatimulyo",1,1,1,6391,0.0133333333333333,1,0.000156470035988108
"19","Mangunan",4,7,7,4592,0.0933333333333333,1.75,0.00038109756097561
"20","Muntuk",1,1,1,7996,0.0133333333333333,1,0.000125062531265633
"21","Temuwuh",0,0,0,6800,0,NA,NA
"22","Terong",2,2,2,5241,0.0266666666666667,1,0.000190803281816447
"23","Girirejo",4,7,7,4411,0.0933333333333333,1.75,0.000396735434141918
"24","Imogiri",6,11,16,3851,0.146666666666667,1.83333333333333,0.000692460832684151
"25","Karangtengah",7,8,10,4739,0.106666666666667,1.14285714285714,0.000301449974376752
"26","Karangtalun",6,9,10,2953,0.12,1.5,0.000564397787560673
"27","Kebonagung",0,0,0,3537,0,NA,NA
"28","Selopamioro",6,9,12,13733,0.12,1.5,0.000145634602781621
"29","Sriharjo",7,9,9,8742,0.12,1.28571428571429,0.000147073242474752
"30","Wukirsari",9,15,18,16116,0.2,1.66666666666667,0.000124100273020601
"31","Canden",13,13,16,10911,0.173333333333333,1,0.000112800772685293
"32","Patalan",7,7,7,11409,0.0933333333333333,1,8.76501007976159e-05
"33","Sumberagung",11,16,17,14315,0.213333333333333,1.45454545454545,0.000107960499158543
"34","Trimulyo",8,13,17,17598,0.173333333333333,1.625,0.000120752358222525
"35","Tirtonirmolo",14,30,72,26339,0.4,2.14285714285714,0.000195256355323176
"36","Ngestiharjo",15,33,99,39959,0.44,2.2,0.000165169298530994
"37","Tamantirto",13,38,74,28408,0.506666666666667,2.92307692307692,0.00020037692524316
"38","Bangunjiwo",11,20,27,27617,0.266666666666667,1.81818181818182,8.88780625899067e-05
"39","Donotirto",5,5,5,8227,0.0666666666666667,1,0.000121550990640574
"40","Parangtritis",4,4,4,8303,0.0533333333333333,1,0.000120438395760568
"41","Tirtohargo",3,3,3,2848,0.04,1,0.000351123595505618
"42","Tirtomulyo",5,5,5,6658,0.0666666666666667,1,0.000150195253829979
"43","Tirtosari",1,1,1,4075,0.0133333333333333,1,0.000245398773006135
"44","Guwosari",5,8,10,12829,0.106666666666667,1.6,0.000155896796320836
"45","Sendangsari",5,7,7,11688,0.0933333333333333,1.4,0.000119780971937029
"46","Triwidadi",1,1,1,10536,0.0133333333333333,1,9.49126803340926e-05
"47","Caturharjo",8,9,11,10927,0.12,1.125,0.000125835087398188
"48","Gilangharjo",8,9,9,15046,0.12,1.125,7.47707031769241e-05
"49","Triharjo",5,10,11,12288,0.133333333333333,2,0.000179036458333333
"50","Wijirejo",5,6,9,10689,0.08,1.2,0.000168397417906259
"51","Sitimulyo",15,25,49,19248,0.333333333333333,1.66666666666667,0.000169714602382932
"52","Srimartani",2,3,3,16908,0.04,1.5,8.87154009936125e-05
"53","Srimulyo",13,19,25,17266,0.253333333333333,1.46153846153846,0.000111379411738499
"54","Bawuran",9,11,11,6978,0.146666666666667,1.22222222222222,0.00017515365752683
"55","Pleret",13,28,45,12751,0.373333333333333,2.15384615384615,0.00027147192075433
"56","Segoroyoso",8,11,14,8439,0.146666666666667,1.375,0.000207370541533357
"57","Wonokromo",11,14,16,14267,0.186666666666667,1.27272727272727,0.000101951738595742
"58","Wonolelo",3,5,7,4623,0.0666666666666667,1.66666666666667,0.000504722762996611
"59","Panjangrejo",5,7,7,8899,0.0933333333333333,1.4,0.000157321047308686
"60","Seloharjo",4,4,4,10492,0.0533333333333333,1,9.53107129241327e-05
"61","Srihardono",7,10,13,12930,0.133333333333333,1.42857142857143,0.000143630538062093
"62","Gadingharjo",3,4,4,3490,0.0533333333333333,1.33333333333333,0.000382043935052531
"63","Gadingsari",2,3,3,9443,0.04,1.5,0.000158847823784814
"64","Murtigading",4,5,5,7900,0.0666666666666667,1.25,0.000158227848101266
"65","Srigading",1,1,1,9281,0.0133333333333333,1,0.000107747010020472
"66","Argodadi",4,4,6,10931,0.0533333333333333,1,0.000137224407647974
"67","Argomulyo",12,20,24,14249,0.266666666666667,1.66666666666667,0.000140360727068566
"68","Argorejo",12,20,24,12890,0.266666666666667,1.66666666666667,0.000155159038013964
"69","Argosari",7,8,8,8453,0.106666666666667,1.14285714285714,0.000135201365533792
"70","Pendowoharjo",14,24,37,24162,0.32,1.71428571428571,0.000109380727707025
"71","Timbulharjo",12,23,33,22485,0.306666666666667,1.91666666666667,0.00012230375806093
"72","Bangunharjo",12,29,68,30695,0.386666666666667,2.41666666666667,0.000184612043220937
"73","Panggungharjo",12,34,85,35162,0.453333333333333,2.83333333333333,0.000201448533454676
"74","Poncosari",6,8,11,12176,0.106666666666667,1.33333333333333,0.000150569426193605
"75","Trimurti",13,19,24,16954,0.253333333333333,1.46153846153846,0.000108891933830002
