"","desakelurahan","epidemic.wave","week.of.cases","sum.of.cases","pop","frequency.index","duration.index","intensity.index"
"1","Wonokerto",0,0,0,9231,0,NA,NA
"2","Girikerto",0,0,0,7430,0,NA,NA
"3","Donokerto",0,0,0,8410,0,NA,NA
"4","Bangunkerto",0,0,0,8345,0,NA,NA
"5","Sumbersari",0,0,0,7618,0,NA,NA
"6","Sumberrahayu",0,0,0,6097,0,NA,NA
"7","Sumberarum",0,0,0,6635,0,NA,NA
"8","Sumberagung",0,0,0,10826,0,NA,NA
"9","Margomulyo",2,2,3,11462,0.0232558139534884,1,0.000130867213400803
"10","Margoluwih",0,0,0,9398,0,NA,NA
"11","Margokaton",0,0,0,7020,0,NA,NA
"12","Margodadi",1,1,1,8207,0.0116279069767442,1,0.000121847203606677
"13","Margoagung",1,1,1,9391,0.0116279069767442,1,0.000106484932382068
"14","Triharjo",1,2,2,16324,0.0232558139534884,2,0.000122518990443519
"15","Tridadi",2,2,2,14058,0.0232558139534884,1,7.11338739507754e-05
"16","Trimulyo",1,1,1,8635,0.0116279069767442,1,0.000115807759119861
"17","Pandowoharjo",2,2,2,10867,0.0232558139534884,1,9.20217171252416e-05
"18","Caturharjo",4,4,4,13471,0.0465116279069767,1,7.42335387127904e-05
"19","Widodomartani",1,1,1,7233,0.0116279069767442,1,0.000138255219134522
"20","Wedomartani",0,0,0,27135,0,NA,NA
"21","Umbulmartani",2,2,2,11306,0.0232558139534884,1,8.84486113568017e-05
"22","Sindumartani",0,0,0,7090,0,NA,NA
"23","Bimomartani",0,0,0,6746,0,NA,NA
"24","Sukoharjo",1,1,1,15139,0.0116279069767442,1,6.60545610674417e-05
"25","Sinduharjo",1,1,1,19352,0.0116279069767442,1,5.16742455560149e-05
"26","Sariharjo",2,2,2,24131,0.0232558139534884,1,4.14404707637479e-05
"27","Sardonoharjo",3,3,3,21713,0.0348837209302326,1,4.60553585409662e-05
"28","Minomartani",0,0,0,13095,0,NA,NA
"29","Donoharjo",0,0,0,9429,0,NA,NA
"30","Sidorejo",0,0,0,6401,0,NA,NA
"31","Sidomulyo",2,6,7,5935,0.0697674418604651,3,0.00058972198820556
"32","Sidomoyo",1,1,1,7653,0.0116279069767442,1,0.000130667712008363
"33","Sidoluhur",7,9,9,9556,0.104651162790698,1.28571428571429,0.000134545237098607
"34","Sidokarto",1,1,1,11254,0.0116279069767442,1,8.88572951839346e-05
"35","Sidoarum",1,2,2,17129,0.0232558139534884,2,0.000116761048514216
"36","Sidoagung",3,4,5,8588,0.0465116279069767,1.33333333333333,0.000194069243906226
"37","Tambakrejo",0,0,0,4565,0,NA,NA
"38","Sumberrejo",0,0,0,4529,0,NA,NA
"39","Pondokrejo",0,0,0,5582,0,NA,NA
"40","Mororejo",0,0,0,4730,0,NA,NA
"41","Merdikorejo",0,0,0,6071,0,NA,NA
"42","Margorejo",0,0,0,10169,0,NA,NA
"43","Lumbungrejo",0,0,0,7312,0,NA,NA
"44","Banyurejo",0,0,0,7093,0,NA,NA
"45","Tirtomartani",3,4,5,15882,0.0465116279069767,1.33333333333333,0.000104940603618352
"46","Tamanmartani",1,2,2,14750,0.0232558139534884,2,0.000135593220338983
"47","Selomartani",2,2,2,11581,0.0232558139534884,1,8.63483291598308e-05
"48","Purwomartani",1,2,7,34669,0.0232558139534884,2,0.000201909486861461
"49","Tegaltirto",1,1,1,11499,0.0116279069767442,1,8.69640838333768e-05
"50","Sendangtirto",0,0,0,17367,0,NA,NA
"51","Kalitirto",0,0,0,12521,0,NA,NA
"52","Jogotirto",0,0,0,9883,0,NA,NA
"53","Tlogoadi",2,2,3,11996,0.0232558139534884,1,0.000125041680560187
"54","Tirtoadi",0,0,0,9416,0,NA,NA
"55","Sumberadi",1,1,1,14549,0.0116279069767442,1,6.87332462712214e-05
"56","Sinduadi",8,11,14,48339,0.127906976744186,1.375,3.62026521028569e-05
"57","Sendangadi",5,5,6,17701,0.0581395348837209,1,6.77927800689227e-05
"58","Wukirsari",0,0,0,9873,0,NA,NA
"59","Umbulharjo",0,0,0,4766,0,NA,NA
"60","Kepuhharjo",0,0,0,3116,0,NA,NA
"61","Glagahharjo",0,0,0,3670,0,NA,NA
"62","Argomulyo",0,0,0,7043,0,NA,NA
"63","Sendangsari",0,0,0,4577,0,NA,NA
"64","Sendangagung",0,0,0,7375,0,NA,NA
"65","Sendangrejo",1,1,1,7941,0.0116279069767442,1,0.000125928724342022
"66","Sendangmulyo",0,0,0,6254,0,NA,NA
"67","Sendangarum",0,0,0,3394,0,NA,NA
"68","Wukirharjo",0,0,0,2425,0,NA,NA
"69","Sumberharjo",0,0,0,12710,0,NA,NA
"70","Sambirejo",0,0,0,5146,0,NA,NA
"71","Madurejo",0,0,0,11780,0,NA,NA
"72","Gayamharjo",0,0,0,4008,0,NA,NA
"73","Bokoharjo",1,1,1,11233,0.0116279069767442,1,8.90234131576605e-05
"74","Trihanggo",10,14,15,18027,0.162790697674419,1.4,8.32085205525046e-05
"75","Nogotirto",5,8,9,19319,0.0930232558139535,1.6,9.31725244577877e-05
"76","Banyuraden",6,9,14,18381,0.104651162790698,1.5,0.00012694267631431
"77","Balecatur",4,7,8,19806,0.0813953488372093,1.75,0.000100979501161264
"78","Ambarketawang",5,5,5,22213,0.0581395348837209,1,4.50186827533426e-05
"79","Purwobinangun",0,0,0,8661,0,NA,NA
"80","Pakembinangun",0,0,0,6711,0,NA,NA
"81","Harjobinangun",0,0,0,5524,0,NA,NA
"82","Hargobinangun",0,0,0,8368,0,NA,NA
"83","Candibinangun",0,0,0,5735,0,NA,NA
"84","Maguwoharjo",2,4,4,39086,0.0465116279069767,2,5.11692165992939e-05
"85","Condongcatur",2,2,2,82992,0.0232558139534884,1,1.20493541546173e-05
"86","Caturtunggal",5,8,15,61162,0.0930232558139535,1.6,4.90500637650829e-05
