"","desakelurahan","epidemic.wave","week.of.cases","sum.of.cases","pop","frequency.index","duration.index","intensity.index"
"1","Wonokerto",1,1,1,9551,0.0116279069767442,1,0.000104701078421108
"2","Girikerto",0,0,0,7687,0,NA,NA
"3","Donokerto",0,0,0,8700,0,NA,NA
"4","Bangunkerto",2,2,2,8633,0.0232558139534884,1,0.000115834588208039
"5","Sumbersari",0,0,0,7881,0,NA,NA
"6","Sumberrahayu",0,0,0,6308,0,NA,NA
"7","Sumberarum",1,1,1,6864,0.0116279069767442,1,0.000145687645687646
"8","Sumberagung",0,0,0,11200,0,NA,NA
"9","Margomulyo",1,1,1,11858,0.0116279069767442,1,8.4331253162422e-05
"10","Margoluwih",4,5,6,9723,0.0581395348837209,1.25,0.000154273372415921
"11","Margokaton",0,0,0,7262,0,NA,NA
"12","Margodadi",1,1,1,8490,0.0116279069767442,1,0.000117785630153121
"13","Margoagung",1,1,1,9715,0.0116279069767442,1,0.000102933607822954
"14","Triharjo",5,8,13,16889,0.0930232558139535,1.6,0.000153946355616081
"15","Tridadi",6,7,10,14544,0.0813953488372093,1.16666666666667,0.000114594792812615
"16","Trimulyo",2,2,2,8933,0.0232558139534884,1,0.000111944475540132
"17","Pandowoharjo",3,4,4,11243,0.0465116279069767,1.33333333333333,0.000118592309288743
"18","Caturharjo",1,1,1,13938,0.0116279069767442,1,7.17463050652891e-05
"19","Widodomartani",1,1,1,7483,0.0116279069767442,1,0.000133636242148871
"20","Wedomartani",8,11,13,28075,0.127906976744186,1.375,5.78806767586821e-05
"21","Umbulmartani",1,2,2,11698,0.0232558139534884,2,0.00017096939647803
"22","Sindumartani",1,1,1,7335,0.0116279069767442,1,0.000136332651670075
"23","Bimomartani",2,2,2,6979,0.0232558139534884,1,0.000143287003868749
"24","Sukoharjo",4,5,7,15663,0.0581395348837209,1.25,0.000111728276830748
"25","Sinduharjo",12,15,17,20022,0.174418604651163,1.25,7.07555022808244e-05
"26","Sariharjo",6,10,10,24966,0.116279069767442,1.66666666666667,6.67574568079254e-05
"27","Sardonoharjo",7,9,11,22465,0.104651162790698,1.28571428571429,6.99500810785031e-05
"28","Minomartani",5,7,7,13548,0.0813953488372093,1.4,0.000103336285798642
"29","Donoharjo",2,2,2,9756,0.0232558139534884,1,0.00010250102501025
"30","Sidorejo",2,2,2,6622,0.0232558139534884,1,0.000151011778918756
"31","Sidomulyo",7,9,12,6141,0.104651162790698,1.28571428571429,0.000279154162886454
"32","Sidomoyo",9,13,17,7919,0.151162790697674,1.44444444444444,0.000238526188772432
"33","Sidoluhur",12,21,25,9887,0.244186046511628,1.75,0.000210714406122518
"34","Sidokarto",6,6,11,11643,0.0697674418604651,1,0.000157462280626414
"35","Sidoarum",9,17,27,17722,0.197674418604651,1.88888888888889,0.00016928111951247
"36","Sidoagung",8,13,20,8886,0.151162790697674,1.625,0.000281341435966689
"37","Tambakrejo",0,1,1,4722,0.0116279069767442,Inf,Inf
"38","Sumberrejo",0,0,0,4405,0,NA,NA
"39","Pondokrejo",0,0,0,5775,0,NA,NA
"40","Mororejo",0,0,0,4894,0,NA,NA
"41","Merdikorejo",1,1,1,6281,0.0116279069767442,1,0.00015921031682853
"42","Margorejo",1,2,2,10521,0.0232558139534884,2,0.000190095998479232
"43","Lumbungrejo",0,0,0,7565,0,NA,NA
"44","Banyurejo",2,3,3,7339,0.0348837209302326,1.5,0.000204387518735523
"45","Tirtomartani",6,10,16,16431,0.116279069767442,1.66666666666667,0.000162294849167225
"46","Tamanmartani",6,11,16,15261,0.127906976744186,1.83333333333333,0.000174737347923902
"47","Selomartani",2,3,4,11982,0.0348837209302326,1.5,0.000166917042230012
"48","Purwomartani",10,18,36,35869,0.209302325581395,1.8,0.00010036521787616
"49","Tegaltirto",3,5,5,11897,0.0581395348837209,1.66666666666667,0.000140091339553389
"50","Sendangtirto",6,11,14,17968,0.127906976744186,1.83333333333333,0.000129860492727812
"51","Kalitirto",3,4,7,12953,0.0465116279069767,1.33333333333333,0.000180138449265292
"52","Jogotirto",5,8,14,10225,0.0930232558139535,1.6,0.000273838630806846
"53","Tlogoadi",5,9,12,12412,0.104651162790698,1.8,0.000193361263293587
"54","Tirtoadi",6,6,9,9741,0.0697674418604651,1,0.000153988296889436
"55","Sumberadi",2,3,3,15052,0.0348837209302326,1.5,9.9654530959341e-05
"56","Sinduadi",10,27,61,50015,0.313953488372093,2.7,0.000121963410976707
"57","Sendangadi",14,24,44,18313,0.27906976744186,1.71428571428571,0.000171618912404147
"58","Wukirsari",1,1,1,10215,0.0116279069767442,1,9.78952520802741e-05
"59","Umbulharjo",0,0,0,4931,0,NA,NA
"60","Kepuhharjo",2,2,2,3224,0.0232558139534884,1,0.000310173697270471
"61","Glagahharjo",0,0,0,3797,0,NA,NA
"62","Argomulyo",2,3,3,7287,0.0348837209302326,1.5,0.000205846027171676
"63","Sendangsari",1,1,1,4735,0.0116279069767442,1,0.000211193241816262
"64","Sendangagung",1,1,1,7630,0.0116279069767442,1,0.000131061598951507
"65","Sendangrejo",1,2,2,8215,0.0232558139534884,2,0.000243457090687766
"66","Sendangmulyo",1,2,2,6470,0.0232558139534884,2,0.000309119010819165
"67","Sendangarum",2,2,2,3511,0.0232558139534884,1,0.000284819139846198
"68","Wukirharjo",1,1,1,2509,0.0116279069767442,1,0.000398565165404544
"69","Sumberharjo",3,3,5,13150,0.0348837209302326,1,0.000126742712294043
"70","Sambirejo",0,0,0,5324,0,NA,NA
"71","Madurejo",6,11,18,12187,0.127906976744186,1.83333333333333,0.000246163945187495
"72","Gayamharjo",0,0,0,4147,0,NA,NA
"73","Bokoharjo",4,4,8,11622,0.0465116279069767,1,0.000172087420409568
"74","Trihanggo",10,15,20,18651,0.174418604651163,1.5,0.000107232856147123
"75","Nogotirto",11,15,20,19987,0.174418604651163,1.36363636363636,9.09682202522549e-05
"76","Banyuraden",10,11,17,19018,0.127906976744186,1.1,8.93889998948365e-05
"77","Balecatur",13,22,31,20491,0.255813953488372,1.69230769230769,0.000116373792621902
"78","Ambarketawang",15,27,40,22981,0.313953488372093,1.8,0.0001160378863699
"79","Purwobinangun",0,0,0,8960,0,NA,NA
"80","Pakembinangun",0,0,0,6942,0,NA,NA
"81","Harjobinangun",0,0,0,5715,0,NA,NA
"82","Hargobinangun",0,0,0,8658,0,NA,NA
"83","Candibinangun",1,1,1,5934,0.0116279069767442,1,0.000168520390967307
"84","Maguwoharjo",5,11,23,40440,0.127906976744186,2.2,0.000113748763600396
"85","Condongcatur",4,6,8,85863,0.0697674418604651,1.5,2.32929201169305e-05
"86","Caturtunggal",9,17,51,63288,0.197674418604651,1.88888888888889,8.95377744069439e-05
