"","desakelurahan","epidemic.wave","week.of.cases","sum.of.cases","pop","frequency.index","duration.index","intensity.index"
"1","Wonokerto",0,0,0,9766,0,NA,NA
"2","Girikerto",0,0,0,7860,0,NA,NA
"3","Donokerto",0,0,0,8897,0,NA,NA
"4","Bangunkerto",0,0,0,8828,0,NA,NA
"5","Sumbersari",1,3,4,8058,0.0348837209302326,3,0.000496401092082403
"6","Sumberrahayu",1,1,1,6450,0.0116279069767442,1,0.000155038759689922
"7","Sumberarum",2,3,3,7018,0.0348837209302326,1.5,0.000213736107153035
"8","Sumberagung",2,2,2,11452,0.0232558139534884,1,8.73209919664687e-05
"9","Margomulyo",3,3,3,12126,0.0348837209302326,1,8.24674253669801e-05
"10","Margoluwih",8,11,12,9943,0.127906976744186,1.375,0.000150859901438198
"11","Margokaton",1,1,2,7426,0.0116279069767442,1,0.000269323996768112
"12","Margodadi",2,2,2,8682,0.0232558139534884,1,0.000115180833909237
"13","Margoagung",2,2,2,9934,0.0232558139534884,1,0.000100664384940608
"14","Triharjo",2,5,7,17270,0.0581395348837209,2.5,0.000202663578459757
"15","Tridadi",5,10,10,14873,0.116279069767442,2,0.000134471861762926
"16","Trimulyo",1,2,3,9135,0.0232558139534884,2,0.000328407224958949
"17","Pandowoharjo",3,3,4,11497,0.0348837209302326,1,0.000115972282624453
"18","Caturharjo",2,2,2,14251,0.0232558139534884,1,7.01705143498702e-05
"19","Widodomartani",3,3,4,7652,0.0348837209302326,1,0.000174246384387524
"20","Wedomartani",4,6,7,28708,0.0697674418604651,1.5,6.09586178068831e-05
"21","Umbulmartani",3,3,3,11961,0.0348837209302326,1,8.36050497450046e-05
"22","Sindumartani",0,0,0,7500,0,NA,NA
"23","Bimomartani",1,1,1,7137,0.0116279069767442,1,0.000140114894213255
"24","Sukoharjo",4,5,6,16016,0.0581395348837209,1.25,9.36563436563437e-05
"25","Sinduharjo",5,8,12,20474,0.0930232558139535,1.6,0.000117221842336622
"26","Sariharjo",3,5,7,25529,0.0581395348837209,1.66666666666667,9.1399323645005e-05
"27","Sardonoharjo",5,6,8,22972,0.0697674418604651,1.2,6.96500087062511e-05
"28","Minomartani",4,5,6,13854,0.0581395348837209,1.25,0.00010827197921178
"29","Donoharjo",6,7,8,9975,0.0813953488372093,1.16666666666667,0.000133667502088555
"30","Sidorejo",2,2,3,6771,0.0232558139534884,1,0.000221533008418254
"31","Sidomulyo",4,4,9,6278,0.0465116279069767,1,0.000358394393118828
"32","Sidomoyo",5,6,7,8097,0.0697674418604651,1.2,0.000172903544522663
"33","Sidoluhur",6,7,7,10110,0.0813953488372093,1.16666666666667,0.000115397296406198
