"","desakelurahan","epidemic.wave","week.of.cases","sum.of.cases","pop","frequency.index","duration.index","intensity.index"
"1","Mulyodadi",1,1,1,10644,0.0133333333333333,1,9.39496429913566e-05
"2","Sidomulyo",1,2,2,12415,0.0266666666666667,2,0.000161095449053564
"3","Sumbermulyo",2,2,2,14421,0.0266666666666667,1,6.93433187712364e-05
"4","Tamanan",1,2,2,13258,0.0266666666666667,2,0.000150852315583044
"5","Jagalan",1,3,3,3263,0.04,3,0.000919399325773828
"6","Singosaren",1,1,1,4478,0.0133333333333333,1,0.000223313979455114
"7","Wirokerten",1,1,1,13470,0.0133333333333333,1,7.42390497401633e-05
"8","Jambidan",2,4,4,8993,0.0533333333333333,2,0.000222395196263761
"9","Potorono",3,3,4,12577,0.04,1,0.000106013622750523
"10","Baturetno",4,4,6,16941,0.0533333333333333,1,8.85425889853019e-05
"11","Banguntapan",6,12,16,49530,0.16,2,5.38394239181641e-05
"12","Bantul",5,5,6,15691,0.0666666666666667,1,7.64769613154037e-05
"13","Ringinharjo",1,1,1,7814,0.0133333333333333,1,0.000127975428717686
"14","Palbapang",2,2,2,12760,0.0266666666666667,1,7.83699059561129e-05
"15","Trirenggo",2,2,2,16873,0.0266666666666667,1,5.92662834113673e-05
"16","Sabdodadi",2,2,2,6616,0.0266666666666667,1,0.000151148730350665
"17","Dlingo",0,0,0,5292,0,NA,NA
"18","Jatimulyo",0,0,0,6252,0,NA,NA
"19","Mangunan",0,0,0,4508,0,NA,NA
"20","Muntuk",0,0,0,7837,0,NA,NA
"21","Temuwuh",0,0,0,6661,0,NA,NA
"22","Terong",0,0,0,5117,0,NA,NA
"23","Girirejo",0,0,0,4279,0,NA,NA
"24","Imogiri",2,2,2,3752,0.0266666666666667,1,0.000266524520255864
"25","Karangtengah",0,0,0,4610,0,NA,NA
"26","Karangtalun",0,0,0,2878,0,NA,NA
"27","Kebonagung",1,2,2,3451,0.0266666666666667,2,0.000579542161692263
"28","Selopamioro",0,0,0,13346,0,NA,NA
"29","Sriharjo",0,0,0,8526,0,NA,NA
"30","Wukirsari",4,4,4,15694,0.0533333333333333,1,6.37186185803492e-05
"31","Canden",1,1,1,10476,0.0133333333333333,1,9.54562810232913e-05
"32","Patalan",4,5,8,10948,0.0666666666666667,1.25,0.000182681768359518
"33","Sumberagung",5,6,6,13812,0.08,1.2,8.68809730668983e-05
"34","Trimulyo",1,3,3,17077,0.04,3,0.000175674884347368
"35","Tirtonirmolo",3,10,15,24227,0.133333333333333,3.33333333333333,0.000206381310108557
"36","Ngestiharjo",8,15,22,36543,0.2,1.875,7.52538105793175e-05
"37","Tamantirto",8,11,14,26575,0.146666666666667,1.375,6.58513640639699e-05
"38","Bangunjiwo",3,3,3,25363,0.04,1,3.94275125182352e-05
"39","Donotirto",2,2,2,8009,0.0266666666666667,1,0.000124859533025346
"40","Parangtritis",0,0,0,8136,0,NA,NA
"41","Tirtohargo",0,0,0,2768,0,NA,NA
"42","Tirtomulyo",1,1,1,6448,0.0133333333333333,1,0.000155086848635236
"43","Tirtosari",1,1,1,3962,0.0133333333333333,1,0.000252397778899546
"44","Guwosari",4,5,5,12274,0.0666666666666667,1.25,0.000101841290532834
"45","Sendangsari",2,2,2,11029,0.0266666666666667,1,9.06700516819295e-05
"46","Triwidadi",0,0,0,9913,0,NA,NA
"47","Caturharjo",0,0,0,10698,0,NA,NA
"48","Gilangharjo",2,5,5,14727,0.0666666666666667,2.5,0.000169756230053643
"49","Triharjo",1,1,2,12005,0.0133333333333333,1,0.000166597251145356
"50","Wijirejo",1,1,2,10478,0.0133333333333333,1,0.000190876121397213
"51","Sitimulyo",3,3,3,17944,0.04,1,5.57289344627731e-05
"52","Srimartani",5,6,6,15647,0.08,1.2,7.66920176391641e-05
"53","Srimulyo",4,4,4,15836,0.0533333333333333,1,6.31472594089417e-05
"54","Bawuran",2,3,3,5662,0.04,1.5,0.000264924055104203
"55","Pleret",1,3,4,12145,0.04,3,0.000329353643474681
"56","Segoroyoso",0,0,0,8006,0,NA,NA
"57","Wonokromo",3,4,4,13549,0.0533333333333333,1.33333333333333,9.8408246611066e-05
"58","Wonolelo",0,0,0,4369,0,NA,NA
"59","Panjangrejo",1,1,1,8726,0.0133333333333333,1,0.000114600045840018
"60","Seloharjo",1,1,1,10328,0.0133333333333333,1,9.68241673121611e-05
"61","Srihardono",0,0,0,12725,0,NA,NA
"62","Gadingharjo",0,0,0,3452,0,NA,NA
"63","Gadingsari",1,1,1,9330,0.0133333333333333,1,0.000107181136120043
"64","Murtigading",0,0,0,7813,0,NA,NA
"65","Srigading",0,0,0,9149,0,NA,NA
"66","Argodadi",1,1,1,10519,0.0133333333333333,1,9.50660709192889e-05
"67","Argomulyo",2,4,4,13673,0.0533333333333333,2,0.000146273678051635
"68","Argorejo",4,4,4,12490,0.0533333333333333,1,8.00640512409928e-05
"69","Argosari",1,1,1,8116,0.0133333333333333,1,0.000123213405618531
"70","Pendowoharjo",3,4,6,22731,0.0533333333333333,1.33333333333333,8.79855703664599e-05
"71","Timbulharjo",5,5,5,21073,0.0666666666666667,1,4.74540881696958e-05
"72","Bangunharjo",4,4,7,28908,0.0533333333333333,1,6.05368756053688e-05
"73","Panggungharjo",4,11,21,32989,0.146666666666667,2.75,0.000159143957076601
"74","Poncosari",1,1,1,11995,0.0133333333333333,1,8.33680700291788e-05
"75","Trimurti",0,1,1,16673,0.0133333333333333,Inf,Inf
