"","ID","ADM4_EN","WEEK","CASE","DATE"
"1",1,"Bausasran",1,0,2013-01-07
"2",1,"Bausasran",10,0,2013-03-11
"3",1,"Bausasran",28,0,2013-07-15
"4",1,"Bausasran",37,0,2013-09-16
"5",1,"Bausasran",46,0,2013-11-18
"6",1,"Bausasran",2,1,2013-01-14
"7",1,"Bausasran",20,0,2013-05-20
"8",1,"Bausasran",29,2,2013-07-22
"9",1,"Bausasran",47,0,2013-11-25
"10",1,"Bausasran",41,0,2013-10-14
"11",1,"Bausasran",12,0,2013-03-25
"12",1,"Bausasran",21,0,2013-05-27
"13",1,"Bausasran",39,0,2013-09-30
"14",1,"Bausasran",48,0,2013-12-02
"15",1,"Bausasran",4,2,2013-01-28
"16",1,"Bausasran",13,0,2013-04-01
"17",1,"Bausasran",31,0,2013-08-05
"18",1,"Bausasran",40,0,2013-10-07
"19",1,"Bausasran",49,0,2013-12-09
"20",1,"Bausasran",5,0,2013-02-04
"21",1,"Bausasran",23,0,2013-06-10
"22",1,"Bausasran",50,0,2013-12-16
"23",1,"Bausasran",44,0,2013-11-04
"24",1,"Bausasran",33,0,2013-08-19
"25",1,"Bausasran",15,1,2013-04-15
"26",1,"Bausasran",42,0,2013-10-21
"27",1,"Bausasran",51,0,2013-12-23
"28",1,"Bausasran",52,0,2013-12-30
"29",1,"Bausasran",7,0,2013-02-18
"30",1,"Bausasran",34,0,2013-08-26
"31",1,"Bausasran",43,0,2013-10-28
"32",1,"Bausasran",38,0,2013-09-23
"33",1,"Bausasran",36,0,2013-09-09
"34",1,"Bausasran",26,0,2013-07-01
"35",1,"Bausasran",35,0,2013-09-02
"36",1,"Bausasran",45,0,2013-11-11
"37",1,"Bausasran",25,0,2013-06-24
"38",1,"Bausasran",18,0,2013-05-06
"39",1,"Bausasran",27,0,2013-07-08
"40",1,"Bausasran",22,0,2013-06-03
"41",1,"Bausasran",32,0,2013-08-12
"42",1,"Bausasran",17,0,2013-04-29
"43",1,"Bausasran",19,0,2013-05-13
"44",1,"Bausasran",14,0,2013-04-08
"45",1,"Bausasran",30,0,2013-07-29
"46",1,"Bausasran",24,0,2013-06-17
"47",1,"Bausasran",11,1,2013-03-18
"48",1,"Bausasran",6,4,2013-02-11
"49",1,"Bausasran",16,1,2013-04-22
"50",1,"Bausasran",3,0,2013-01-21
"51",1,"Bausasran",8,1,2013-02-25
"52",1,"Bausasran",9,0,2013-03-04
"53",2,"Tegalpanggung",1,0,2013-01-07
"54",2,"Tegalpanggung",41,0,2013-10-14
"55",2,"Tegalpanggung",46,0,2013-11-18
"56",2,"Tegalpanggung",4,1,2013-01-28
"57",2,"Tegalpanggung",52,0,2013-12-30
"58",2,"Tegalpanggung",38,0,2013-09-23
"59",2,"Tegalpanggung",48,0,2013-12-02
"60",2,"Tegalpanggung",49,0,2013-12-09
"61",2,"Tegalpanggung",44,0,2013-11-04
"62",2,"Tegalpanggung",51,0,2013-12-23
"63",2,"Tegalpanggung",40,0,2013-10-07
"64",2,"Tegalpanggung",17,0,2013-04-29
"65",2,"Tegalpanggung",12,0,2013-03-25
"66",2,"Tegalpanggung",37,0,2013-09-16
"67",2,"Tegalpanggung",50,0,2013-12-16
"68",2,"Tegalpanggung",33,0,2013-08-19
"69",2,"Tegalpanggung",24,0,2013-06-17
"70",2,"Tegalpanggung",28,1,2013-07-15
"71",2,"Tegalpanggung",45,0,2013-11-11
"72",2,"Tegalpanggung",43,0,2013-10-28
"73",2,"Tegalpanggung",25,0,2013-06-24
"74",2,"Tegalpanggung",20,2,2013-05-20
"75",2,"Tegalpanggung",31,0,2013-08-05
"76",2,"Tegalpanggung",35,0,2013-09-02
"77",2,"Tegalpanggung",32,0,2013-08-12
"78",2,"Tegalpanggung",23,0,2013-06-10
"79",2,"Tegalpanggung",47,0,2013-11-25
"80",2,"Tegalpanggung",39,0,2013-09-30
"81",2,"Tegalpanggung",36,1,2013-09-09
"82",2,"Tegalpanggung",9,0,2013-03-04
"83",2,"Tegalpanggung",10,0,2013-03-11
"84",2,"Tegalpanggung",19,0,2013-05-13
"85",2,"Tegalpanggung",22,0,2013-06-03
"86",2,"Tegalpanggung",16,0,2013-04-22
"87",2,"Tegalpanggung",2,0,2013-01-14
"88",2,"Tegalpanggung",11,0,2013-03-18
"89",2,"Tegalpanggung",29,0,2013-07-22
"90",2,"Tegalpanggung",8,1,2013-02-25
"91",2,"Tegalpanggung",15,0,2013-04-15
"92",2,"Tegalpanggung",3,0,2013-01-21
"93",2,"Tegalpanggung",21,0,2013-05-27
"94",2,"Tegalpanggung",30,1,2013-07-29
"95",2,"Tegalpanggung",7,0,2013-02-18
"96",2,"Tegalpanggung",27,0,2013-07-08
"97",2,"Tegalpanggung",13,0,2013-04-01
"98",2,"Tegalpanggung",34,0,2013-08-26
"99",2,"Tegalpanggung",42,0,2013-10-21
"100",2,"Tegalpanggung",5,1,2013-02-04
"101",2,"Tegalpanggung",14,1,2013-04-08
"102",2,"Tegalpanggung",26,0,2013-07-01
"103",2,"Tegalpanggung",6,0,2013-02-11
"104",2,"Tegalpanggung",18,0,2013-05-06
"105",3,"Suryatmajan",39,0,2013-09-30
"106",3,"Suryatmajan",22,0,2013-06-03
"107",3,"Suryatmajan",17,0,2013-04-29
"108",3,"Suryatmajan",32,0,2013-08-12
"109",3,"Suryatmajan",33,0,2013-08-19
"110",3,"Suryatmajan",45,0,2013-11-11
"111",3,"Suryatmajan",44,0,2013-11-04
"112",3,"Suryatmajan",51,0,2013-12-23
"113",3,"Suryatmajan",43,0,2013-10-28
"114",3,"Suryatmajan",52,0,2013-12-30
"115",3,"Suryatmajan",50,0,2013-12-16
"116",3,"Suryatmajan",19,0,2013-05-13
"117",3,"Suryatmajan",35,0,2013-09-02
"118",3,"Suryatmajan",23,0,2013-06-10
"119",3,"Suryatmajan",28,0,2013-07-15
"120",3,"Suryatmajan",29,1,2013-07-22
"121",3,"Suryatmajan",36,0,2013-09-09
"122",3,"Suryatmajan",9,1,2013-03-04
"123",3,"Suryatmajan",24,1,2013-06-17
"124",3,"Suryatmajan",1,0,2013-01-07
"125",3,"Suryatmajan",31,0,2013-08-05
"126",3,"Suryatmajan",13,0,2013-04-01
"127",3,"Suryatmajan",37,0,2013-09-16
"128",3,"Suryatmajan",46,0,2013-11-18
"129",3,"Suryatmajan",2,0,2013-01-14
"130",3,"Suryatmajan",20,0,2013-05-20
"131",3,"Suryatmajan",8,0,2013-02-25
"132",3,"Suryatmajan",47,0,2013-11-25
"133",3,"Suryatmajan",41,0,2013-10-14
"134",3,"Suryatmajan",30,1,2013-07-29
"135",3,"Suryatmajan",21,1,2013-05-27
"136",3,"Suryatmajan",15,0,2013-04-15
"137",3,"Suryatmajan",48,0,2013-12-02
"138",3,"Suryatmajan",10,0,2013-03-11
"139",3,"Suryatmajan",34,0,2013-08-26
"140",3,"Suryatmajan",16,0,2013-04-22
"141",3,"Suryatmajan",40,0,2013-10-07
"142",3,"Suryatmajan",49,0,2013-12-09
"143",3,"Suryatmajan",26,1,2013-07-01
"144",3,"Suryatmajan",11,0,2013-03-18
"145",3,"Suryatmajan",14,0,2013-04-08
"146",3,"Suryatmajan",38,0,2013-09-23
"147",3,"Suryatmajan",12,1,2013-03-25
"148",3,"Suryatmajan",42,0,2013-10-21
"149",3,"Suryatmajan",18,0,2013-05-06
"150",3,"Suryatmajan",6,0,2013-02-11
"151",3,"Suryatmajan",4,0,2013-01-28
"152",3,"Suryatmajan",7,2,2013-02-18
"153",3,"Suryatmajan",25,0,2013-06-24
"154",3,"Suryatmajan",5,0,2013-02-04
