"","desakelurahan","epidemic.wave","week.of.cases","sum.of.cases","pop","frequency.index","duration.index","intensity.index"
"1","Wonokerto",0,0,0,9658,0,NA,NA
"2","Girikerto",0,0,0,7773,0,NA,NA
"3","Donokerto",0,0,0,8798,0,NA,NA
"4","Bangunkerto",0,0,0,8730,0,NA,NA
"5","Sumbersari",1,2,2,7969,0.0232558139534884,2,0.000250972518509223
"6","Sumberrahayu",0,0,0,6379,0,NA,NA
"7","Sumberarum",0,0,0,6941,0,NA,NA
"8","Sumberagung",1,1,2,11326,0.0116279069767442,1,0.000176584849019954
"9","Margomulyo",0,0,0,11991,0,NA,NA
"10","Margoluwih",5,6,7,9832,0.0697674418604651,1.2,0.000142392188771359
"11","Margokaton",1,2,2,7344,0.0232558139534884,2,0.000272331154684096
"12","Margodadi",1,2,2,8585,0.0232558139534884,2,0.00023296447291788
"13","Margoagung",2,2,2,9824,0.0232558139534884,1,0.000101791530944625
"14","Triharjo",3,6,7,17078,0.0697674418604651,2,0.000136628020455166
"15","Tridadi",8,11,14,14707,0.127906976744186,1.375,0.000118990956687292
"16","Trimulyo",0,0,0,9033,0,NA,NA
"17","Pandowoharjo",1,2,2,11369,0.0232558139534884,2,0.000175916967191486
"18","Caturharjo",3,3,3,14094,0.0348837209302326,1,7.09521782318717e-05
"19","Widodomartani",2,3,3,7567,0.0348837209302326,1.5,0.000198229152900753
"20","Wedomartani",2,2,2,28389,0.0232558139534884,1,3.52249110570996e-05
"21","Umbulmartani",3,3,3,11828,0.0348837209302326,1,8.4545147108556e-05
"22","Sindumartani",0,1,3,7418,0.0116279069767442,Inf,Inf
"23","Bimomartani",0,0,0,7057,0,NA,NA
"24","Sukoharjo",2,3,6,15838,0.0348837209302326,1.5,0.000189417855789872
"25","Sinduharjo",7,13,16,20247,0.151162790697674,1.85714285714286,0.000112891504208736
"26","Sariharjo",5,5,7,25245,0.0581395348837209,1,5.54565260447613e-05
"27","Sardonoharjo",5,5,7,22717,0.0581395348837209,1,6.16278557908174e-05
"28","Minomartani",2,2,2,13700,0.0232558139534884,1,7.2992700729927e-05
"29","Donoharjo",3,3,3,9865,0.0348837209302326,1,0.00010136847440446
"30","Sidorejo",6,8,11,6697,0.0930232558139535,1.33333333333333,0.000273754417400826
"31","Sidomulyo",8,10,11,6209,0.116279069767442,1.25,0.000221452729908198
"32","Sidomoyo",5,7,7,8007,0.0813953488372093,1.4,0.000174847008867241
"33","Sidoluhur",8,10,12,9997,0.116279069767442,1.25,0.000150045013504051
"34","Sidokarto",6,8,11,11774,0.0930232558139535,1.33333333333333,0.000155710322178812
