"","desakelurahan","epidemic.wave","week.of.cases","sum.of.cases","pop","frequency.index","duration.index","intensity.index"
"1","Bausasran",0,0,0,6379,0,NA,NA
"2","Tegalpanggung",4,6,6,7836,0.133333333333333,1.5,0.000191424196018377
"3","Suryatmajan",5,7,10,4309,0.155555555555556,1.4,0.000464144813181713
"4","Sosromenduran",5,5,6,6390,0.111111111111111,1,0.000187793427230047
"5","Pringgokusuman",7,8,12,10968,0.177777777777778,1.14285714285714,0.000156298843388559
"6","Demangan",5,8,14,10655,0.177777777777778,1.6,0.000262787423744721
"7","Klitren",5,8,9,10423,0.177777777777778,1.6,0.000172695001439125
"8","Terban",5,6,7,9396,0.133333333333333,1.2,0.000148999574286931
"9","Kotabaru",0,0,0,2543,0,NA,NA
"10","Baciro",4,4,4,12729,0.0888888888888889,1,7.85607667530835e-05
"11","Prawirodirjan",6,9,11,8325,0.2,1.5,0.00022022022022022
"12","Ngupasan",8,9,10,4836,0.2,1.125,0.000258478081058726
"13","Bumijo",4,4,6,9030,0.0888888888888889,1,0.000166112956810631
"14","Gowongan",5,10,13,6722,0.222222222222222,2,0.000386789645938709
"15","Cokrodiningratan",6,10,12,7934,0.222222222222222,1.66666666666667,0.000252079657171666
"16","Rejowinangun",6,7,10,11598,0.155555555555556,1.16666666666667,0.000143702937288038
"17","Prenggan",5,9,10,10800,0.2,1.8,0.000185185185185185
"18","Purbayan",5,6,8,9062,0.133333333333333,1.2,0.000176561465460163
"19","Panembahan",7,11,14,7402,0.244444444444444,1.57142857142857,0.000270197243988111
"20","Kadipaten",4,5,6,5527,0.111111111111111,1.25,0.000271394970146553
"21","Patehan",2,5,7,4718,0.111111111111111,2.5,0.000741839762611276
"22","Suryodiningratan",7,9,10,10315,0.2,1.28571428571429,0.00013849456408836
"23","Gedongkiwo",9,13,16,12457,0.288888888888889,1.44444444444444,0.000142713155477063
"24","Mantrijeron",6,8,9,8806,0.177777777777778,1.33333333333333,0.000170338405632523
"25","Wirogunan",8,10,11,11046,0.222222222222222,1.25,0.000124479449574507
"26","Keparakan",7,8,11,8783,0.177777777777778,1.14285714285714,0.000178917063808331
"27","Brontokusuman",6,7,9,9755,0.155555555555556,1.16666666666667,0.000153767298821117
"28","Ngampilan",8,16,25,8941,0.355555555555556,2,0.000349513477239682
"29","Notoprajan",9,15,24,7545,0.333333333333333,1.66666666666667,0.000353434945880274
"30","Gunungketur",1,1,1,4170,0.0222222222222222,1,0.000239808153477218
"31","Purwokinanti",4,5,6,5239,0.111111111111111,1.25,0.00028631418209582
"32","Karangwaru",4,4,4,9438,0.0888888888888889,1,0.000105954651409197
"33","Kricak",6,8,11,12515,0.177777777777778,1.33333333333333,0.00014649087761353
"34","Bener",2,2,2,4965,0.0444444444444444,1,0.000201409869083585
"35","Tegalrejo",10,15,20,8351,0.333333333333333,1.5,0.000239492276374087
"36","Pandeyan",6,9,9,14474,0.2,1.5,0.000103634102528672
"37","Sorosutan",10,19,27,16172,0.422222222222222,1.9,0.000166955231263913
"38","Giwangan",3,6,6,8386,0.133333333333333,2,0.000238492725971858
"39","Warungboto",4,4,5,11658,0.0888888888888889,1,0.000107222508148911
"40","Mujamuju",2,4,7,11566,0.0888888888888889,2,0.000302611101504409
"41","Semaki",8,10,13,5324,0.222222222222222,1.25,0.000305221637866266
"42","Tahunan",4,6,7,9931,0.133333333333333,1.5,0.000176215889638506
"43","Patangpuluhan",7,14,17,6233,0.311111111111111,2,0.000389631225504802
"44","Wirobrajan",9,12,13,9337,0.266666666666667,1.33333333333333,0.000154701129318244
"45","Pakuncen",7,10,16,9514,0.222222222222222,1.42857142857143,0.000240247454878525
