"","desakelurahan","epidemic.wave","week.of.cases","sum.of.cases","pop","frequency.index","duration.index","intensity.index"
"1","Mulyodadi",8,9,10,10644,0.12,1.125,0.000117437053739196
"2","Sidomulyo",8,10,11,12415,0.133333333333333,1.25,0.000110753121224325
"3","Sumbermulyo",12,15,18,14421,0.2,1.25,0.000104014978156855
"4","Tamanan",15,23,41,13258,0.306666666666667,1.53333333333333,0.000206164831296827
"5","Jagalan",8,10,12,3263,0.133333333333333,1.25,0.000459699662886914
"6","Singosaren",6,7,8,4478,0.0933333333333333,1.16666666666667,0.000297751972606819
"7","Wirokerten",12,20,26,13470,0.266666666666667,1.66666666666667,0.000160851274437021
"8","Jambidan",9,15,16,8993,0.2,1.66666666666667,0.000197684618901121
"9","Potorono",9,13,20,12577,0.173333333333333,1.44444444444444,0.000176689371250872
"10","Baturetno",13,26,36,16941,0.346666666666667,2,0.000163463241203634
"11","Banguntapan",17,44,118,49530,0.586666666666667,2.58823529411765,0.000140140853434045
"12","Bantul",11,21,32,15691,0.28,1.90909090909091,0.000185398694097948
"13","Ringinharjo",14,20,23,7814,0.266666666666667,1.42857142857143,0.000210245347179056
"14","Palbapang",13,22,26,12760,0.293333333333333,1.69230769230769,0.000156739811912226
"15","Trirenggo",8,14,16,16873,0.186666666666667,1.75,0.000118532566822735
"16","Sabdodadi",5,6,7,6616,0.08,1.2,0.000211608222490931
"17","Dlingo",6,6,6,5292,0.08,1,0.00018896447467876
"18","Jatimulyo",2,2,2,6252,0.0266666666666667,1,0.000159948816378759
"19","Mangunan",3,3,4,4508,0.04,1,0.000295770482105886
"20","Muntuk",0,0,0,7837,0,NA,NA
"21","Temuwuh",0,0,0,6661,0,NA,NA
"22","Terong",3,3,3,5117,0.04,1,0.000195427008012507
"23","Girirejo",5,5,6,4279,0.0666666666666667,1,0.000280439354989484
"24","Imogiri",5,7,12,3752,0.0933333333333333,1.4,0.000639658848614072
"25","Karangtengah",2,2,2,4610,0.0266666666666667,1,0.000216919739696312
"26","Karangtalun",4,6,10,2878,0.08,1.5,0.000868658790826963
"27","Kebonagung",5,5,5,3451,0.0666666666666667,1,0.000289771080846132
"28","Selopamioro",7,20,30,13346,0.266666666666667,2.85714285714286,0.000321123504099677
"29","Sriharjo",6,13,14,8526,0.173333333333333,2.16666666666667,0.000273672687465791
"30","Wukirsari",9,16,22,15694,0.213333333333333,1.77777777777778,0.000155756623196409
"31","Canden",8,10,13,10476,0.133333333333333,1.25,0.000155116456662848
"32","Patalan",9,10,10,10948,0.133333333333333,1.11111111111111,0.000101489871310843
"33","Sumberagung",11,21,31,13812,0.28,1.90909090909091,0.000204038648869231
"34","Trimulyo",11,20,26,17077,0.266666666666667,1.81818181818182,0.00013841051494035
"35","Tirtonirmolo",17,35,62,24227,0.466666666666667,2.05882352941176,0.000150536955608594
"36","Ngestiharjo",17,49,130,36543,0.653333333333333,2.88235294117647,0.000209261933161739
"37","Tamantirto",15,39,62,26575,0.52,2.6,0.000155534650360615
"38","Bangunjiwo",14,27,30,25363,0.36,1.92857142857143,8.44875268247898e-05
"39","Donotirto",6,6,6,8009,0.08,1,0.000124859533025346
"40","Parangtritis",7,9,14,8136,0.12,1.28571428571429,0.000245821042281219
"41","Tirtohargo",0,0,0,2768,0,NA,NA
"42","Tirtomulyo",2,2,2,6448,0.0266666666666667,1,0.000155086848635236
"43","Tirtosari",2,2,2,3962,0.0266666666666667,1,0.000252397778899546
"44","Guwosari",11,15,19,12274,0.2,1.36363636363636,0.000140726146918097
"45","Sendangsari",9,13,19,11029,0.173333333333333,1.44444444444444,0.00019141455355074
"46","Triwidadi",8,11,13,9913,0.146666666666667,1.375,0.000163926157570867
"47","Caturharjo",9,11,15,10698,0.146666666666667,1.22222222222222,0.000155792359942668
