"","ID","ADM4_EN","WEEK","CASE","DATE"
"1",1,"Bausasran",1,0,2015-01-05
"2",1,"Bausasran",10,1,2015-03-09
"3",1,"Bausasran",28,0,2015-07-13
"4",1,"Bausasran",37,0,2015-09-14
"5",1,"Bausasran",46,0,2015-11-16
"6",1,"Bausasran",2,0,2015-01-12
"7",1,"Bausasran",20,0,2015-05-18
"8",1,"Bausasran",29,0,2015-07-20
"9",1,"Bausasran",47,0,2015-11-23
"10",1,"Bausasran",41,0,2015-10-12
"11",1,"Bausasran",12,0,2015-03-23
"12",1,"Bausasran",21,0,2015-05-25
"13",1,"Bausasran",39,0,2015-09-28
"14",1,"Bausasran",48,0,2015-11-30
"15",1,"Bausasran",4,0,2015-01-26
"16",1,"Bausasran",13,1,2015-03-30
"17",1,"Bausasran",31,0,2015-08-03
"18",1,"Bausasran",40,0,2015-10-05
"19",1,"Bausasran",49,0,2015-12-07
"20",1,"Bausasran",5,1,2015-02-02
"21",1,"Bausasran",23,0,2015-06-08
"22",1,"Bausasran",50,0,2015-12-14
"23",1,"Bausasran",44,0,2015-11-02
"24",1,"Bausasran",33,0,2015-08-17
"25",1,"Bausasran",15,0,2015-04-13
"26",1,"Bausasran",42,0,2015-10-19
"27",1,"Bausasran",51,0,2015-12-21
"28",1,"Bausasran",52,0,2015-12-28
"29",1,"Bausasran",7,0,2015-02-16
"30",1,"Bausasran",34,0,2015-08-24
"31",1,"Bausasran",43,0,2015-10-26
"32",1,"Bausasran",38,0,2015-09-21
"33",1,"Bausasran",36,0,2015-09-07
"34",1,"Bausasran",26,0,2015-06-29
"35",1,"Bausasran",35,0,2015-08-31
"36",1,"Bausasran",45,0,2015-11-09
"37",1,"Bausasran",25,0,2015-06-22
"38",1,"Bausasran",18,0,2015-05-04
"39",1,"Bausasran",27,0,2015-07-06
"40",1,"Bausasran",22,0,2015-06-01
"41",1,"Bausasran",32,0,2015-08-10
"42",1,"Bausasran",17,2,2015-04-27
"43",1,"Bausasran",19,0,2015-05-11
"44",1,"Bausasran",14,0,2015-04-06
"45",1,"Bausasran",30,0,2015-07-27
"46",1,"Bausasran",24,1,2015-06-15
"47",1,"Bausasran",11,0,2015-03-16
"48",1,"Bausasran",6,0,2015-02-09
"49",1,"Bausasran",16,0,2015-04-20
"50",1,"Bausasran",3,1,2015-01-19
"51",1,"Bausasran",8,0,2015-02-23
"52",1,"Bausasran",9,2,2015-03-02
"53",2,"Tegalpanggung",1,0,2015-01-05
"54",2,"Tegalpanggung",41,0,2015-10-12
"55",2,"Tegalpanggung",46,0,2015-11-16
"56",2,"Tegalpanggung",4,0,2015-01-26
"57",2,"Tegalpanggung",52,0,2015-12-28
"58",2,"Tegalpanggung",38,0,2015-09-21
"59",2,"Tegalpanggung",48,0,2015-11-30
"60",2,"Tegalpanggung",49,0,2015-12-07
"61",2,"Tegalpanggung",44,0,2015-11-02
"62",2,"Tegalpanggung",51,0,2015-12-21
"63",2,"Tegalpanggung",40,0,2015-10-05
"64",2,"Tegalpanggung",17,0,2015-04-27
"65",2,"Tegalpanggung",12,0,2015-03-23
"66",2,"Tegalpanggung",37,0,2015-09-14
"67",2,"Tegalpanggung",50,0,2015-12-14
"68",2,"Tegalpanggung",33,0,2015-08-17
"69",2,"Tegalpanggung",24,0,2015-06-15
"70",2,"Tegalpanggung",28,0,2015-07-13
"71",2,"Tegalpanggung",45,0,2015-11-09
"72",2,"Tegalpanggung",43,0,2015-10-26
"73",2,"Tegalpanggung",25,2,2015-06-22
"74",2,"Tegalpanggung",20,0,2015-05-18
"75",2,"Tegalpanggung",31,0,2015-08-03
"76",2,"Tegalpanggung",35,1,2015-08-31
"77",2,"Tegalpanggung",32,0,2015-08-10
"78",2,"Tegalpanggung",23,0,2015-06-08
"79",2,"Tegalpanggung",47,0,2015-11-23
"80",2,"Tegalpanggung",39,0,2015-09-28
"81",2,"Tegalpanggung",36,1,2015-09-07
"82",2,"Tegalpanggung",9,2,2015-03-02
"83",2,"Tegalpanggung",10,1,2015-03-09
"84",2,"Tegalpanggung",19,0,2015-05-11
"85",2,"Tegalpanggung",22,0,2015-06-01
"86",2,"Tegalpanggung",16,0,2015-04-20
"87",2,"Tegalpanggung",2,0,2015-01-12
"88",2,"Tegalpanggung",11,0,2015-03-16
"89",2,"Tegalpanggung",29,0,2015-07-20
"90",2,"Tegalpanggung",8,0,2015-02-23
"91",2,"Tegalpanggung",15,0,2015-04-13
"92",2,"Tegalpanggung",3,1,2015-01-19
"93",2,"Tegalpanggung",21,1,2015-05-25
"94",2,"Tegalpanggung",30,1,2015-07-27
"95",2,"Tegalpanggung",7,1,2015-02-16
"96",2,"Tegalpanggung",27,0,2015-07-06
"97",2,"Tegalpanggung",13,2,2015-03-30
"98",2,"Tegalpanggung",34,1,2015-08-24
"99",2,"Tegalpanggung",42,0,2015-10-19
"100",2,"Tegalpanggung",5,0,2015-02-02
"101",2,"Tegalpanggung",14,0,2015-04-06
"102",2,"Tegalpanggung",26,0,2015-06-29
"103",2,"Tegalpanggung",6,0,2015-02-09
"104",2,"Tegalpanggung",18,0,2015-05-04
"105",3,"Suryatmajan",39,0,2015-09-28
"106",3,"Suryatmajan",22,1,2015-06-01
"107",3,"Suryatmajan",17,0,2015-04-27
"108",3,"Suryatmajan",32,0,2015-08-10
"109",3,"Suryatmajan",33,0,2015-08-17
"110",3,"Suryatmajan",45,0,2015-11-09
"111",3,"Suryatmajan",44,0,2015-11-02
"112",3,"Suryatmajan",51,0,2015-12-21
"113",3,"Suryatmajan",43,0,2015-10-26
"114",3,"Suryatmajan",52,0,2015-12-28
"115",3,"Suryatmajan",50,0,2015-12-14
"116",3,"Suryatmajan",19,0,2015-05-11
"117",3,"Suryatmajan",35,0,2015-08-31
"118",3,"Suryatmajan",23,0,2015-06-08
"119",3,"Suryatmajan",28,1,2015-07-13
"120",3,"Suryatmajan",29,3,2015-07-20
"121",3,"Suryatmajan",36,0,2015-09-07
"122",3,"Suryatmajan",9,2,2015-03-02
"123",3,"Suryatmajan",24,0,2015-06-15
"124",3,"Suryatmajan",1,0,2015-01-05
"125",3,"Suryatmajan",31,0,2015-08-03
"126",3,"Suryatmajan",13,1,2015-03-30
"127",3,"Suryatmajan",37,0,2015-09-14
"128",3,"Suryatmajan",46,0,2015-11-16
"129",3,"Suryatmajan",2,0,2015-01-12
"130",3,"Suryatmajan",20,0,2015-05-18
"131",3,"Suryatmajan",8,0,2015-02-23
"132",3,"Suryatmajan",47,0,2015-11-23
"133",3,"Suryatmajan",41,0,2015-10-12
"134",3,"Suryatmajan",30,0,2015-07-27
"135",3,"Suryatmajan",21,0,2015-05-25
"136",3,"Suryatmajan",15,0,2015-04-13
"137",3,"Suryatmajan",48,0,2015-11-30
"138",3,"Suryatmajan",10,0,2015-03-09
"139",3,"Suryatmajan",34,0,2015-08-24
"140",3,"Suryatmajan",16,0,2015-04-20
"141",3,"Suryatmajan",40,0,2015-10-05
"142",3,"Suryatmajan",49,0,2015-12-07
"143",3,"Suryatmajan",26,0,2015-06-29
"144",3,"Suryatmajan",11,0,2015-03-16
"145",3,"Suryatmajan",14,0,2015-04-06
"146",3,"Suryatmajan",38,0,2015-09-21
"147",3,"Suryatmajan",12,0,2015-03-23
"148",3,"Suryatmajan",42,0,2015-10-19
"149",3,"Suryatmajan",18,0,2015-05-04
"150",3,"Suryatmajan",6,0,2015-02-09
"151",3,"Suryatmajan",4,0,2015-01-26
"152",3,"Suryatmajan",7,0,2015-02-16
"153",3,"Suryatmajan",25,0,2015-06-22
"154",3,"Suryatmajan",5,0,2015-02-02
"155",3,"Suryatmajan",3,0,2015-01-19
"156",3,"Suryatmajan",27,0,2015-07-06
"157",4,"Sosromenduran",28,1,2015-07-13
"158",4,"Sosromenduran",43,0,2015-10-26
"159",4,"Sosromenduran",29,0,2015-07-20
"160",4,"Sosromenduran",47,0,2015-11-23
"161",4,"Sosromenduran",44,0,2015-11-02
"162",4,"Sosromenduran",23,0,2015-06-08
"163",4,"Sosromenduran",42,0,2015-10-19
"164",4,"Sosromenduran",45,1,2015-11-09
"165",4,"Sosromenduran",1,2,2015-01-05
"166",4,"Sosromenduran",33,0,2015-08-17
"167",4,"Sosromenduran",19,0,2015-05-11
"168",4,"Sosromenduran",37,0,2015-09-14
"169",4,"Sosromenduran",46,0,2015-11-16
"170",4,"Sosromenduran",31,0,2015-08-03
"171",4,"Sosromenduran",35,0,2015-08-31
"172",4,"Sosromenduran",17,0,2015-04-27
"173",4,"Sosromenduran",38,0,2015-09-21
"174",4,"Sosromenduran",32,0,2015-08-10
"175",4,"Sosromenduran",30,0,2015-07-27
"176",4,"Sosromenduran",36,0,2015-09-07
"177",4,"Sosromenduran",39,0,2015-09-28
"178",4,"Sosromenduran",48,0,2015-11-30
"179",4,"Sosromenduran",10,0,2015-03-09
"180",4,"Sosromenduran",13,0,2015-03-30
"181",4,"Sosromenduran",22,0,2015-06-01
"182",4,"Sosromenduran",40,0,2015-10-05
"183",4,"Sosromenduran",20,0,2015-05-18
"184",4,"Sosromenduran",11,1,2015-03-16
"185",4,"Sosromenduran",14,0,2015-04-06
"186",4,"Sosromenduran",50,0,2015-12-14
"187",4,"Sosromenduran",41,0,2015-10-12
"188",4,"Sosromenduran",27,0,2015-07-06
"189",4,"Sosromenduran",21,1,2015-05-25
"190",4,"Sosromenduran",24,0,2015-06-15
"191",4,"Sosromenduran",51,0,2015-12-21
"192",4,"Sosromenduran",4,0,2015-01-26
"193",4,"Sosromenduran",34,0,2015-08-24
"194",4,"Sosromenduran",16,0,2015-04-20
"195",4,"Sosromenduran",25,0,2015-06-22
"196",4,"Sosromenduran",52,0,2015-12-28
"197",4,"Sosromenduran",26,2,2015-06-29
"198",4,"Sosromenduran",8,0,2015-02-23
"199",4,"Sosromenduran",9,0,2015-03-02
"200",4,"Sosromenduran",6,0,2015-02-09
"201",4,"Sosromenduran",12,1,2015-03-23
"202",4,"Sosromenduran",15,0,2015-04-13
"203",4,"Sosromenduran",7,0,2015-02-16
"204",4,"Sosromenduran",3,0,2015-01-19
"205",4,"Sosromenduran",2,0,2015-01-12
"206",4,"Sosromenduran",5,1,2015-02-02
"207",4,"Sosromenduran",18,2,2015-05-04
"208",4,"Sosromenduran",49,0,2015-12-07
"209",5,"Pringgokusuman",27,0,2015-07-06
"210",5,"Pringgokusuman",26,0,2015-06-29
"211",5,"Pringgokusuman",28,2,2015-07-13
"212",5,"Pringgokusuman",1,1,2015-01-05
"213",5,"Pringgokusuman",9,1,2015-03-02
"214",5,"Pringgokusuman",49,0,2015-12-07
"215",5,"Pringgokusuman",29,0,2015-07-20
"216",5,"Pringgokusuman",48,0,2015-11-30
"217",5,"Pringgokusuman",6,1,2015-02-09
"218",5,"Pringgokusuman",12,0,2015-03-23
"219",5,"Pringgokusuman",8,0,2015-02-23
"220",5,"Pringgokusuman",46,1,2015-11-16
"221",5,"Pringgokusuman",7,0,2015-02-16
"222",5,"Pringgokusuman",51,0,2015-12-21
"223",5,"Pringgokusuman",30,0,2015-07-27
"224",5,"Pringgokusuman",45,0,2015-11-09
"225",5,"Pringgokusuman",5,0,2015-02-02
"226",5,"Pringgokusuman",52,0,2015-12-28
"227",5,"Pringgokusuman",41,0,2015-10-12
"228",5,"Pringgokusuman",2,0,2015-01-12
"229",5,"Pringgokusuman",3,0,2015-01-19
"230",5,"Pringgokusuman",44,0,2015-11-02
"231",5,"Pringgokusuman",24,0,2015-06-15
"232",5,"Pringgokusuman",15,0,2015-04-13
"233",5,"Pringgokusuman",4,0,2015-01-26
"234",5,"Pringgokusuman",39,0,2015-09-28
"235",5,"Pringgokusuman",40,0,2015-10-05
"236",5,"Pringgokusuman",34,0,2015-08-24
"237",5,"Pringgokusuman",16,2,2015-04-20
"238",5,"Pringgokusuman",43,1,2015-10-26
"239",5,"Pringgokusuman",47,0,2015-11-23
"240",5,"Pringgokusuman",38,0,2015-09-21
"241",5,"Pringgokusuman",35,0,2015-08-31
"242",5,"Pringgokusuman",17,0,2015-04-27
"243",5,"Pringgokusuman",42,0,2015-10-19
"244",5,"Pringgokusuman",25,1,2015-06-22
"245",5,"Pringgokusuman",18,2,2015-05-04
