"","ADM2_EN","YEAR","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52"
"1","Kota Yogyakarta",2010,0,19,8,10,16,15,24,17,25,32,40,23,35,38,34,32,24,31,31,47,41,30,39,23,39,51,41,38,45,46,29,37,46,25,24,15,10,8,19,13,15,22,26,26,23,23,22,19,28,34,32,12
"2","Kota Yogyakarta",2011,34,30,24,16,20,15,16,22,30,13,15,28,16,23,19,8,11,8,10,14,8,8,5,7,3,3,4,6,1,1,7,1,3,1,1,0,0,1,0,0,1,3,4,2,1,3,0,0,1,4,2,1
"3","Kota Yogyakarta",2012,5,3,3,7,5,10,7,12,6,5,7,7,6,16,12,9,7,14,8,9,6,5,10,11,8,6,2,4,8,5,4,2,7,1,2,3,8,1,2,9,5,4,3,5,9,3,1,11,17,21,14,21
"4","Kota Yogyakarta",2013,21,31,22,30,40,58,47,37,36,30,32,39,15,49,23,24,28,20,17,23,13,8,18,18,18,27,21,17,18,10,6,6,9,9,10,8,3,4,2,6,5,4,5,4,5,3,3,5,5,3,4,6
"5","Kota Yogyakarta",2014,6,6,1,2,4,9,5,9,11,12,9,7,10,12,18,7,14,11,15,15,23,11,10,8,5,6,4,8,8,12,9,4,9,4,4,6,4,9,12,8,6,6,3,8,6,12,4,6,5,3,8,2
"6","Kota Yogyakarta",2015,23,15,19,23,33,35,34,32,40,31,22,25,29,25,35,26,28,24,38,37,23,26,37,30,27,22,21,22,19,12,12,11,4,6,11,8,3,3,3,7,3,6,6,4,8,5,3,4,1,4,5,0
