"","desakelurahan","epidemic.wave","week.of.cases","sum.of.cases","pop","frequency.index","duration.index","intensity.index"
"1","Bausasran",4,7,10,6625,0.155555555555556,1.75,0.000377358490566038
"2","Tegalpanggung",2,2,2,8140,0.0444444444444444,1,0.000122850122850123
"3","Suryatmajan",3,4,4,4475,0.0888888888888889,1.33333333333333,0.000297951582867784
"4","Sosromenduran",3,4,4,6636,0.0888888888888889,1.33333333333333,0.000200924251557163
"5","Pringgokusuman",8,11,12,11391,0.244444444444444,1.375,0.000131682907558599
"6","Demangan",8,10,13,11068,0.222222222222222,1.25,0.000146819660281894
"7","Klitren",11,13,16,10825,0.288888888888889,1.18181818181818,0.000134369095108125
"8","Terban",7,9,10,9757,0.2,1.28571428571429,0.000146415028038478
"9","Kotabaru",2,3,3,2641,0.0666666666666667,1.5,0.000567966679288148
"10","Baciro",4,6,6,13220,0.133333333333333,1.5,0.000113464447806354
"11","Prawirodirjan",7,9,12,8646,0.2,1.28571428571429,0.000198275007435313
"12","Ngupasan",1,1,1,5022,0.0222222222222222,1,0.000199123855037834
"13","Bumijo",3,3,3,9379,0.0666666666666667,1,0.000106621174965348
"14","Gowongan",5,6,7,6982,0.133333333333333,1.2,0.000200515611572615
"15","Cokrodiningratan",6,8,8,8242,0.177777777777778,1.33333333333333,0.000161773032435493
"16","Rejowinangun",6,7,9,12048,0.155555555555556,1.16666666666667,0.000124501992031873
"17","Prenggan",3,3,3,11219,0.0666666666666667,1,8.91345039664854e-05
"18","Purbayan",5,5,7,9412,0.111111111111111,1,0.000148746281342966
"19","Panembahan",6,10,11,7687,0.222222222222222,1.66666666666667,0.000238497896882182
"20","Kadipaten",4,4,5,5740,0.0888888888888889,1,0.000217770034843206
"21","Patehan",7,8,8,4900,0.177777777777778,1.14285714285714,0.000233236151603499
"22","Suryodiningratan",5,9,11,10714,0.2,1.8,0.000205338809034908
"23","Gedongkiwo",3,7,8,12938,0.155555555555556,2.33333333333333,0.000206111196990777
"24","Mantrijeron",8,17,19,9146,0.377777777777778,2.125,0.00025967636125082
"25","Wirogunan",11,16,19,11473,0.355555555555556,1.45454545454545,0.000150551096249693
"26","Keparakan",6,7,8,9122,0.155555555555556,1.16666666666667,0.000146166776291749
"27","Brontokusuman",12,13,13,10132,0.288888888888889,1.08333333333333,0.000106921963416239
"28","Ngampilan",7,12,15,9286,0.266666666666667,1.71428571428571,0.000230762130395988
"29","Notoprajan",6,10,18,7834,0.222222222222222,1.66666666666667,0.000382946132244064
"30","Gunungketur",0,0,0,4332,0,NA,NA
"31","Purwokinanti",5,5,5,5440,0.111111111111111,1,0.000183823529411765
"32","Karangwaru",5,9,10,9803,0.2,1.8,0.000204019177802713
"33","Kricak",8,9,12,13000,0.2,1.125,0.000115384615384615
"34","Bener",0,0,0,5157,0,NA,NA
"35","Tegalrejo",9,14,15,8673,0.311111111111111,1.55555555555556,0.00019216726238518
"36","Pandeyan",5,7,8,15031,0.155555555555556,1.4,0.000106446676867807
"37","Sorosutan",9,12,16,16796,0.266666666666667,1.33333333333333,0.000105845307083697
"38","Giwangan",7,8,8,8708,0.177777777777778,1.14285714285714,0.00013124220749393
"39","Warungboto",7,12,15,12107,0.266666666666667,1.71428571428571,0.000176993238858276
"40","Mujamuju",9,11,14,12015,0.244444444444444,1.22222222222222,0.000129467794886022
"41","Semaki",5,7,8,5530,0.155555555555556,1.4,0.000289330922242315
"42","Tahunan",6,11,14,10316,0.244444444444444,1.83333333333333,0.000226185860152514
"43","Patangpuluhan",7,9,10,6474,0.2,1.28571428571429,0.000220662871265281
"44","Wirobrajan",9,16,19,9700,0.355555555555556,1.77777777777778,0.000217640320733104
"45","Pakuncen",5,11,11,9882,0.244444444444444,2.2,0.000222626998583283
